Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC2_LinewidthStop
Temperature(C)= 23.2	Humidity(%)= 8.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.170E-3
-950.000E-9	-47.930E-3
-900.000E-9	-46.980E-3
-850.000E-9	-45.330E-3
-800.000E-9	-42.960E-3
-750.000E-9	-41.530E-3
-700.000E-9	-39.860E-3
-650.000E-9	-37.950E-3
-600.000E-9	-34.840E-3
-550.000E-9	-31.710E-3
-500.000E-9	-28.820E-3
-450.000E-9	-26.170E-3
-400.000E-9	-23.750E-3
-350.000E-9	-21.320E-3
-300.000E-9	-19.860E-3
-250.000E-9	-17.180E-3
-200.000E-9	-14.490E-3
-150.000E-9	-12.780E-3
-100.000E-9	-10.820E-3
-50.000E-9	-8.860E-3
0.000E+0	-5.660E-3
50.000E-9	-2.460E-3
100.000E-9	490.000E-6
150.000E-9	3.210E-3
200.000E-9	5.690E-3
250.000E-9	8.170E-3
300.000E-9	10.650E-3
350.000E-9	13.140E-3
400.000E-9	14.640E-3
450.000E-9	17.380E-3
500.000E-9	20.130E-3
550.000E-9	22.880E-3
600.000E-9	25.640E-3
650.000E-9	28.150E-3
700.000E-9	30.660E-3
750.000E-9	32.170E-3
800.000E-9	34.940E-3
850.000E-9	37.710E-3
900.000E-9	40.490E-3
950.000E-9	43.270E-3
1.000E-6	44.790E-3
