Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC2_LinewidthStop
Temperature(C)= 22.1	Humidity(%)= 11.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-47.060E-3
-950.000E-9	-46.830E-3
-900.000E-9	-45.890E-3
-850.000E-9	-44.960E-3
-800.000E-9	-43.550E-3
-750.000E-9	-40.740E-3
-700.000E-9	-37.930E-3
-650.000E-9	-36.050E-3
-600.000E-9	-33.230E-3
-550.000E-9	-30.630E-3
-500.000E-9	-28.980E-3
-450.000E-9	-26.140E-3
-400.000E-9	-23.530E-3
-350.000E-9	-20.920E-3
-300.000E-9	-18.300E-3
-250.000E-9	-15.920E-3
-200.000E-9	-13.530E-3
-150.000E-9	-11.140E-3
-100.000E-9	-9.710E-3
-50.000E-9	-7.070E-3
0.000E+0	-4.440E-3
50.000E-9	-1.800E-3
100.000E-9	840.000E-6
150.000E-9	3.250E-3
200.000E-9	4.690E-3
250.000E-9	7.350E-3
300.000E-9	10.010E-3
350.000E-9	12.670E-3
400.000E-9	15.340E-3
450.000E-9	17.760E-3
500.000E-9	20.190E-3
550.000E-9	21.650E-3
600.000E-9	24.320E-3
650.000E-9	27.000E-3
700.000E-9	28.710E-3
750.000E-9	30.660E-3
800.000E-9	33.600E-3
850.000E-9	36.530E-3
900.000E-9	38.490E-3
950.000E-9	41.430E-3
1.000E-6	44.130E-3
