Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC2_LinewidthStop
Temperature(C)= 18.9	Humidity(%)= 9.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-47.110E-3
-950.000E-9	-46.880E-3
-900.000E-9	-45.940E-3
-850.000E-9	-44.310E-3
-800.000E-9	-42.910E-3
-750.000E-9	-41.270E-3
-700.000E-9	-39.400E-3
-650.000E-9	-37.520E-3
-600.000E-9	-35.400E-3
-550.000E-9	-33.040E-3
-500.000E-9	-30.680E-3
-450.000E-9	-27.120E-3
-400.000E-9	-23.790E-3
-350.000E-9	-20.930E-3
-300.000E-9	-18.300E-3
-250.000E-9	-15.910E-3
-200.000E-9	-13.510E-3
-150.000E-9	-12.070E-3
-100.000E-9	-9.420E-3
-50.000E-9	-6.770E-3
0.000E+0	-4.110E-3
50.000E-9	-1.450E-3
100.000E-9	960.000E-6
150.000E-9	3.390E-3
200.000E-9	5.820E-3
250.000E-9	8.250E-3
300.000E-9	10.690E-3
350.000E-9	12.150E-3
400.000E-9	14.840E-3
450.000E-9	16.560E-3
500.000E-9	19.490E-3
550.000E-9	22.440E-3
600.000E-9	25.140E-3
650.000E-9	27.840E-3
700.000E-9	30.300E-3
750.000E-9	31.780E-3
800.000E-9	34.500E-3
850.000E-9	37.210E-3
900.000E-9	38.940E-3
950.000E-9	41.910E-3
1.000E-6	44.640E-3
