Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC2_LinewidthStrip
Temperature(C)= 23.2	Humidity(%)= 9.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-130.950E-3
-950.000E-6	-130.290E-3
-900.000E-6	-128.980E-3
-850.000E-6	-124.400E-3
-800.000E-6	-117.850E-3
-750.000E-6	-110.650E-3
-700.000E-6	-103.440E-3
-650.000E-6	-96.890E-3
-600.000E-6	-90.350E-3
-550.000E-6	-83.800E-3
-500.000E-6	-77.260E-3
-450.000E-6	-70.700E-3
-400.000E-6	-64.150E-3
-350.000E-6	-60.220E-3
-300.000E-6	-53.020E-3
-250.000E-6	-48.440E-3
-200.000E-6	-40.580E-3
-150.000E-6	-32.720E-3
-100.000E-6	-25.520E-3
-50.000E-6	-20.930E-3
0.000E+0	-13.730E-3
50.000E-6	-6.530E-3
100.000E-6	660.000E-6
150.000E-6	7.860E-3
200.000E-6	14.420E-3
250.000E-6	20.970E-3
300.000E-6	27.520E-3
350.000E-6	34.070E-3
400.000E-6	40.620E-3
450.000E-6	47.160E-3
500.000E-6	53.710E-3
550.000E-6	60.260E-3
600.000E-6	66.800E-3
650.000E-6	73.350E-3
700.000E-6	79.900E-3
750.000E-6	86.450E-3
800.000E-6	93.000E-3
850.000E-6	99.550E-3
900.000E-6	106.100E-3
950.000E-6	110.030E-3
1.000E-3	117.230E-3
