Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 23.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-132.530E-3
-950.000E-6	-131.880E-3
-900.000E-6	-129.230E-3
-850.000E-6	-124.590E-3
-800.000E-6	-117.960E-3
-750.000E-6	-111.330E-3
-700.000E-6	-107.350E-3
-650.000E-6	-100.060E-3
-600.000E-6	-92.760E-3
-550.000E-6	-85.460E-3
-500.000E-6	-78.170E-3
-450.000E-6	-71.540E-3
-400.000E-6	-64.920E-3
-350.000E-6	-58.290E-3
-300.000E-6	-54.310E-3
-250.000E-6	-49.670E-3
-200.000E-6	-41.710E-3
-150.000E-6	-33.750E-3
-100.000E-6	-28.450E-3
-50.000E-6	-20.490E-3
0.000E+0	-13.200E-3
50.000E-6	-5.910E-3
100.000E-6	1.370E-3
150.000E-6	5.350E-3
200.000E-6	12.650E-3
250.000E-6	19.940E-3
300.000E-6	27.240E-3
350.000E-6	34.530E-3
400.000E-6	41.160E-3
450.000E-6	47.790E-3
500.000E-6	51.770E-3
550.000E-6	59.070E-3
600.000E-6	66.360E-3
650.000E-6	73.650E-3
700.000E-6	80.950E-3
750.000E-6	87.580E-3
800.000E-6	94.220E-3
850.000E-6	100.850E-3
900.000E-6	104.820E-3
950.000E-6	112.100E-3
1.000E-3	119.390E-3
