Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC2_LinewidthStrip
Temperature(C)= 22.1	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-131.550E-3
-950.000E-6	-130.900E-3
-900.000E-6	-128.260E-3
-850.000E-6	-123.660E-3
-800.000E-6	-117.080E-3
-750.000E-6	-110.500E-3
-700.000E-6	-103.920E-3
-650.000E-6	-99.970E-3
-600.000E-6	-92.730E-3
-550.000E-6	-85.500E-3
-500.000E-6	-78.260E-3
-450.000E-6	-71.030E-3
-400.000E-6	-67.080E-3
-350.000E-6	-62.470E-3
-300.000E-6	-54.580E-3
-250.000E-6	-46.690E-3
-200.000E-6	-38.790E-3
-150.000E-6	-31.550E-3
-100.000E-6	-24.970E-3
-50.000E-6	-21.020E-3
0.000E+0	-13.790E-3
50.000E-6	-6.550E-3
100.000E-6	680.000E-6
150.000E-6	7.910E-3
200.000E-6	14.490E-3
250.000E-6	21.080E-3
300.000E-6	27.660E-3
350.000E-6	34.240E-3
400.000E-6	40.820E-3
450.000E-6	47.400E-3
500.000E-6	53.980E-3
550.000E-6	60.560E-3
600.000E-6	64.510E-3
650.000E-6	71.740E-3
700.000E-6	78.980E-3
750.000E-6	86.220E-3
800.000E-6	93.460E-3
850.000E-6	100.040E-3
900.000E-6	103.990E-3
950.000E-6	111.230E-3
1.000E-3	118.470E-3
