Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC3_DiodeHalf_CV	
Temperature(C)= 24.5	Humidity(%)= 6.2	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 100.000E+3	Settling_time(s) = 0.5	
		
Voltage (V)	Capacitance (F)
0.000E+0	111.440E-12
-5.000E+0	23.880E-12
-10.000E+0	17.700E-12
-15.000E+0	14.745E-12
-20.000E+0	13.083E-12
-25.000E+0	11.868E-12
-30.000E+0	10.944E-12
-35.000E+0	10.216E-12
-40.000E+0	9.621E-12
-45.000E+0	9.101E-12
-50.000E+0	8.652E-12
-55.000E+0	8.210E-12
-60.000E+0	7.803E-12
-65.000E+0	7.383E-12
-70.000E+0	7.009E-12
-75.000E+0	6.618E-12
-80.000E+0	6.482E-12
-85.000E+0	6.574E-12
-90.000E+0	6.537E-12
-95.000E+0	6.310E-12
-100.000E+0	6.182E-12
-105.000E+0	6.168E-12
-110.000E+0	6.039E-12
-115.000E+0	5.891E-12
-120.000E+0	5.809E-12
-125.000E+0	5.643E-12
-130.000E+0	5.567E-12
-135.000E+0	5.509E-12
-140.000E+0	5.412E-12
-145.000E+0	5.371E-12
-150.000E+0	5.352E-12
-155.000E+0	5.194E-12
-160.000E+0	5.198E-12
-165.000E+0	5.270E-12
-170.000E+0	5.142E-12
-175.000E+0	5.175E-12
-180.000E+0	5.075E-12
-185.000E+0	4.960E-12
-190.000E+0	4.942E-12
-195.000E+0	5.047E-12
-200.000E+0	4.935E-12
-205.000E+0	4.893E-12
-210.000E+0	4.912E-12
-215.000E+0	4.877E-12
-220.000E+0	4.781E-12
-225.000E+0	4.804E-12
-230.000E+0	4.807E-12
-235.000E+0	4.755E-12
-240.000E+0	4.750E-12
-245.000E+0	4.759E-12
-250.000E+0	4.737E-12
-255.000E+0	4.762E-12
-260.000E+0	4.770E-12
-265.000E+0	4.782E-12
-270.000E+0	4.776E-12
-275.000E+0	4.782E-12
-280.000E+0	4.760E-12
-285.000E+0	4.786E-12
-290.000E+0	4.805E-12
-295.000E+0	4.758E-12
-300.000E+0	4.745E-12
-305.000E+0	4.775E-12
-310.000E+0	4.807E-12
-315.000E+0	4.805E-12
-320.000E+0	4.801E-12
-325.000E+0	4.778E-12
-330.000E+0	4.793E-12
-335.000E+0	4.767E-12
-340.000E+0	4.784E-12
-345.000E+0	4.746E-12
-350.000E+0	4.807E-12
-355.000E+0	4.787E-12
-360.000E+0	4.776E-12
-365.000E+0	4.771E-12
-370.000E+0	4.769E-12
-375.000E+0	4.789E-12
-380.000E+0	4.752E-12
-385.000E+0	4.781E-12
-390.000E+0	4.766E-12
-395.000E+0	4.778E-12
-400.000E+0	4.800E-12
-405.000E+0	4.756E-12
-410.000E+0	4.780E-12
-415.000E+0	4.820E-12
-420.000E+0	4.740E-12
-425.000E+0	4.829E-12
-430.000E+0	4.721E-12
-435.000E+0	4.751E-12
-440.000E+0	4.768E-12
-445.000E+0	4.777E-12
-450.000E+0	4.796E-12
-455.000E+0	4.782E-12
-460.000E+0	4.724E-12
-465.000E+0	4.766E-12
-470.000E+0	4.811E-12
-475.000E+0	4.786E-12
-480.000E+0	4.780E-12
-485.000E+0	4.789E-12
-490.000E+0	4.794E-12
-495.000E+0	4.772E-12
-500.000E+0	4.799E-12
