Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC3_DiodeHalf_CV	
Temperature(C)= 22.2	Humidity(%)= 6.4	AC Amplitude(V)= 250.000E-3
AC Frequency(Hz) = 100.000E+3	Settling_time(s) = 0.5	
		
Voltage (V)	Capacitance (F)
0.000E+0	126.930E-12
-5.000E+0	25.510E-12
-10.000E+0	18.790E-12
-15.000E+0	15.648E-12
-20.000E+0	13.915E-12
-25.000E+0	12.575E-12
-30.000E+0	11.558E-12
-35.000E+0	10.705E-12
-40.000E+0	10.031E-12
-45.000E+0	9.446E-12
-50.000E+0	8.884E-12
-55.000E+0	8.329E-12
-60.000E+0	7.894E-12
-65.000E+0	7.380E-12
-70.000E+0	6.909E-12
-75.000E+0	6.603E-12
-80.000E+0	6.400E-12
-85.000E+0	6.491E-12
-90.000E+0	6.462E-12
-95.000E+0	6.305E-12
-100.000E+0	6.179E-12
-105.000E+0	6.096E-12
-110.000E+0	6.008E-12
-115.000E+0	5.928E-12
-120.000E+0	5.814E-12
-125.000E+0	5.702E-12
-130.000E+0	5.573E-12
-135.000E+0	5.467E-12
-140.000E+0	5.440E-12
-145.000E+0	5.369E-12
-150.000E+0	5.289E-12
-155.000E+0	5.262E-12
-160.000E+0	5.229E-12
-165.000E+0	5.174E-12
-170.000E+0	5.156E-12
-175.000E+0	5.082E-12
-180.000E+0	5.003E-12
-185.000E+0	5.002E-12
-190.000E+0	4.932E-12
-195.000E+0	4.919E-12
-200.000E+0	4.900E-12
-205.000E+0	4.871E-12
-210.000E+0	4.845E-12
-215.000E+0	4.791E-12
-220.000E+0	4.768E-12
-225.000E+0	4.776E-12
-230.000E+0	4.769E-12
-235.000E+0	4.699E-12
-240.000E+0	4.705E-12
-245.000E+0	4.712E-12
-250.000E+0	4.707E-12
-255.000E+0	4.693E-12
-260.000E+0	4.690E-12
-265.000E+0	4.708E-12
-270.000E+0	4.720E-12
-275.000E+0	4.685E-12
-280.000E+0	4.702E-12
-285.000E+0	4.676E-12
-290.000E+0	4.717E-12
-295.000E+0	4.700E-12
-300.000E+0	4.712E-12
-305.000E+0	4.713E-12
-310.000E+0	4.727E-12
-315.000E+0	4.695E-12
-320.000E+0	4.715E-12
-325.000E+0	4.690E-12
-330.000E+0	4.738E-12
-335.000E+0	4.729E-12
-340.000E+0	4.729E-12
-345.000E+0	4.714E-12
-350.000E+0	4.704E-12
-355.000E+0	4.736E-12
-360.000E+0	4.733E-12
-365.000E+0	4.722E-12
-370.000E+0	4.731E-12
-375.000E+0	4.736E-12
-380.000E+0	4.693E-12
-385.000E+0	4.733E-12
-390.000E+0	4.721E-12
-395.000E+0	4.720E-12
-400.000E+0	4.705E-12
-405.000E+0	4.727E-12
-410.000E+0	4.730E-12
-415.000E+0	4.720E-12
-420.000E+0	4.728E-12
-425.000E+0	4.726E-12
-430.000E+0	4.735E-12
-435.000E+0	4.734E-12
-440.000E+0	4.705E-12
-445.000E+0	4.733E-12
-450.000E+0	4.729E-12
-455.000E+0	4.732E-12
-460.000E+0	4.745E-12
-465.000E+0	4.735E-12
-470.000E+0	4.726E-12
-475.000E+0	4.736E-12
-480.000E+0	4.736E-12
-485.000E+0	4.733E-12
-490.000E+0	4.721E-12
-495.000E+0	4.749E-12
-500.000E+0	4.729E-12
