Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC3_DiodeHalf_IV	
Temperature(C)= 24.5	Humidity(%)= 6.2	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	923.170E-9
-10.000E+0	2.416E-6
-20.000E+0	2.348E-6
-30.000E+0	1.978E-6
-40.000E+0	1.472E-6
-50.000E+0	918.125E-9
-60.000E+0	356.769E-9
-70.000E+0	4.552E-9
-80.000E+0	691.466E-12
-90.000E+0	27.623E-12
-100.000E+0	26.158E-12
-110.000E+0	24.502E-12
-120.000E+0	24.200E-12
-130.000E+0	24.051E-12
-140.000E+0	24.170E-12
-150.000E+0	24.292E-12
-160.000E+0	24.346E-12
-170.000E+0	24.469E-12
-180.000E+0	24.666E-12
-190.000E+0	24.887E-12
-200.000E+0	25.302E-12
-210.000E+0	25.759E-12
-220.000E+0	26.251E-12
-230.000E+0	26.696E-12
-240.000E+0	27.039E-12
-250.000E+0	27.256E-12
-260.000E+0	27.501E-12
-270.000E+0	27.650E-12
-280.000E+0	27.939E-12
-290.000E+0	28.022E-12
-300.000E+0	28.236E-12
-310.000E+0	28.385E-12
-320.000E+0	28.507E-12
-330.000E+0	28.671E-12
-340.000E+0	28.854E-12
-350.000E+0	29.050E-12
-360.000E+0	29.323E-12
-370.000E+0	29.699E-12
-380.000E+0	30.224E-12
-390.000E+0	30.885E-12
-400.000E+0	31.899E-12
-410.000E+0	33.185E-12
-420.000E+0	34.972E-12
-430.000E+0	36.935E-12
-440.000E+0	39.648E-12
-450.000E+0	42.779E-12
-460.000E+0	46.531E-12
-470.000E+0	50.879E-12
-480.000E+0	56.186E-12
-490.000E+0	62.377E-12
-500.000E+0	69.592E-12
-510.000E+0	78.188E-12
-520.000E+0	88.390E-12
-530.000E+0	100.807E-12
-540.000E+0	114.859E-12
-550.000E+0	131.828E-12
-560.000E+0	150.566E-12
-570.000E+0	173.129E-12
-580.000E+0	198.427E-12
-590.000E+0	220.675E-12
-600.000E+0	260.079E-12
-610.000E+0	273.482E-12
-620.000E+0	345.058E-12
-630.000E+0	360.598E-12
-640.000E+0	433.865E-12
-650.000E+0	467.218E-12
-660.000E+0	523.106E-12
-670.000E+0	575.723E-12
-680.000E+0	638.206E-12
-690.000E+0	690.915E-12
-700.000E+0	786.751E-12
