Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC3_DiodeHalf_IV	
Temperature(C)= 22.1	Humidity(%)= 8.0	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	1.066E-6
-10.000E+0	1.871E-6
-20.000E+0	2.018E-6
-30.000E+0	1.791E-6
-40.000E+0	1.342E-6
-50.000E+0	787.010E-9
-60.000E+0	239.360E-9
-70.000E+0	5.670E-9
-80.000E+0	1.226E-9
-90.000E+0	64.874E-12
-100.000E+0	30.367E-12
-110.000E+0	22.112E-12
-120.000E+0	21.045E-12
-130.000E+0	20.782E-12
-140.000E+0	20.631E-12
-150.000E+0	20.539E-12
-160.000E+0	20.573E-12
-170.000E+0	20.612E-12
-180.000E+0	20.696E-12
-190.000E+0	20.912E-12
-200.000E+0	21.176E-12
-210.000E+0	21.508E-12
-220.000E+0	21.776E-12
-230.000E+0	22.092E-12
-240.000E+0	22.370E-12
-250.000E+0	22.605E-12
-260.000E+0	22.825E-12
-270.000E+0	22.945E-12
-280.000E+0	23.281E-12
-290.000E+0	23.301E-12
-300.000E+0	23.400E-12
-310.000E+0	23.600E-12
-320.000E+0	23.656E-12
-330.000E+0	23.889E-12
-340.000E+0	24.020E-12
-350.000E+0	24.217E-12
-360.000E+0	24.564E-12
-370.000E+0	25.007E-12
-380.000E+0	25.617E-12
-390.000E+0	26.531E-12
-400.000E+0	27.703E-12
-410.000E+0	29.220E-12
-420.000E+0	31.086E-12
-430.000E+0	33.393E-12
-440.000E+0	36.109E-12
-450.000E+0	39.376E-12
-460.000E+0	43.220E-12
-470.000E+0	47.662E-12
-480.000E+0	52.780E-12
-490.000E+0	58.779E-12
-500.000E+0	65.665E-12
-510.000E+0	73.732E-12
-520.000E+0	83.002E-12
-530.000E+0	93.852E-12
-540.000E+0	106.330E-12
-550.000E+0	120.476E-12
-560.000E+0	136.650E-12
-570.000E+0	155.358E-12
-580.000E+0	176.680E-12
-590.000E+0	83.028E-12
-600.000E+0	555.895E-12
-610.000E+0	203.645E-12
-620.000E+0	279.543E-12
-630.000E+0	320.184E-12
-640.000E+0	361.765E-12
-650.000E+0	392.987E-12
-660.000E+0	431.365E-12
-670.000E+0	481.808E-12
-680.000E+0	528.785E-12
-690.000E+0	600.461E-12
-700.000E+0	689.603E-12
