Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC3_DiodeHalf_IV	
Temperature(C)= 23.3	Humidity(%)= 7.7	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	1.049E-6
-10.000E+0	1.748E-6
-20.000E+0	1.809E-6
-30.000E+0	1.554E-6
-40.000E+0	1.124E-6
-50.000E+0	616.911E-9
-60.000E+0	128.848E-9
-70.000E+0	2.539E-9
-80.000E+0	381.735E-12
-90.000E+0	15.033E-12
-100.000E+0	23.034E-12
-110.000E+0	23.492E-12
-120.000E+0	23.170E-12
-130.000E+0	23.131E-12
-140.000E+0	22.906E-12
-150.000E+0	22.985E-12
-160.000E+0	23.029E-12
-170.000E+0	23.115E-12
-180.000E+0	23.270E-12
-190.000E+0	23.357E-12
-200.000E+0	23.564E-12
-210.000E+0	23.912E-12
-220.000E+0	24.296E-12
-230.000E+0	24.708E-12
-240.000E+0	25.076E-12
-250.000E+0	25.364E-12
-260.000E+0	25.598E-12
-270.000E+0	25.736E-12
-280.000E+0	26.033E-12
-290.000E+0	26.144E-12
-300.000E+0	26.418E-12
-310.000E+0	26.572E-12
-320.000E+0	26.699E-12
-330.000E+0	26.903E-12
-340.000E+0	27.325E-12
-350.000E+0	27.759E-12
-360.000E+0	28.386E-12
-370.000E+0	29.313E-12
-380.000E+0	30.598E-12
-390.000E+0	32.378E-12
-400.000E+0	34.518E-12
-410.000E+0	37.316E-12
-420.000E+0	40.616E-12
-430.000E+0	44.514E-12
-440.000E+0	49.394E-12
-450.000E+0	55.112E-12
-460.000E+0	62.134E-12
-470.000E+0	70.416E-12
-480.000E+0	80.360E-12
-490.000E+0	92.217E-12
-500.000E+0	106.003E-12
-510.000E+0	122.457E-12
-520.000E+0	141.467E-12
-530.000E+0	164.260E-12
-540.000E+0	190.094E-12
-550.000E+0	216.552E-12
-560.000E+0	237.824E-12
-570.000E+0	283.277E-12
-580.000E+0	329.689E-12
-590.000E+0	358.828E-12
-600.000E+0	403.892E-12
-610.000E+0	490.104E-12
-620.000E+0	525.771E-12
-630.000E+0	538.316E-12
-640.000E+0	695.880E-12
-650.000E+0	942.646E-12
-660.000E+0	817.523E-12
-670.000E+0	917.907E-12
-680.000E+0	983.787E-12
-690.000E+0	1.078E-9
-700.000E+0	1.205E-9
