Custom_Flutes_23-Nov-20_5:08:24 PM	Left_PQC3_DiodeHalf_IV	
Temperature(C)= 21.9	Humidity(%)= 17.1	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	1.051E-6
-10.000E+0	1.660E-6
-20.000E+0	1.665E-6
-30.000E+0	1.411E-6
-40.000E+0	1.024E-6
-50.000E+0	592.724E-9
-60.000E+0	176.791E-9
-70.000E+0	3.017E-9
-80.000E+0	470.420E-12
-90.000E+0	18.404E-12
-100.000E+0	22.868E-12
-110.000E+0	22.426E-12
-120.000E+0	21.998E-12
-130.000E+0	21.738E-12
-140.000E+0	21.751E-12
-150.000E+0	21.807E-12
-160.000E+0	21.685E-12
-170.000E+0	21.802E-12
-180.000E+0	21.875E-12
-190.000E+0	22.030E-12
-200.000E+0	22.324E-12
-210.000E+0	22.514E-12
-220.000E+0	22.906E-12
-230.000E+0	23.177E-12
-240.000E+0	23.539E-12
-250.000E+0	23.704E-12
-260.000E+0	23.919E-12
-270.000E+0	24.108E-12
-280.000E+0	24.364E-12
-290.000E+0	24.487E-12
-300.000E+0	24.646E-12
-310.000E+0	24.727E-12
-320.000E+0	24.804E-12
-330.000E+0	24.944E-12
-340.000E+0	25.077E-12
-350.000E+0	25.236E-12
-360.000E+0	25.238E-12
-370.000E+0	25.383E-12
-380.000E+0	25.588E-12
-390.000E+0	25.723E-12
-400.000E+0	25.996E-12
-410.000E+0	26.274E-12
-420.000E+0	27.046E-12
-430.000E+0	27.933E-12
-440.000E+0	29.499E-12
-450.000E+0	31.862E-12
-460.000E+0	35.425E-12
-470.000E+0	40.473E-12
-480.000E+0	47.507E-12
-490.000E+0	56.437E-12
-500.000E+0	67.895E-12
-510.000E+0	82.147E-12
-520.000E+0	99.010E-12
-530.000E+0	118.713E-12
-540.000E+0	141.580E-12
-550.000E+0	167.053E-12
-560.000E+0	194.992E-12
-570.000E+0	208.431E-12
-580.000E+0	250.387E-12
-590.000E+0	283.438E-12
-600.000E+0	342.736E-12
-610.000E+0	376.760E-12
-620.000E+0	425.488E-12
-630.000E+0	493.878E-12
-640.000E+0	566.903E-12
-650.000E+0	601.283E-12
-660.000E+0	669.871E-12
-670.000E+0	775.437E-12
-680.000E+0	830.329E-12
-690.000E+0	893.093E-12
-700.000E+0	1.002E-9
