Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC3_DiodeHalf_IV	
Temperature(C)= 20.4	Humidity(%)= 6.6	Bias(V)= 0.000E+0
Current_Limit(A) = 15.000E-6	Settling_time(s) = 1.0	
		
Voltage (V)	Current (A)
0.000E+0	837.349E-9
-10.000E+0	3.096E-6
-20.000E+0	3.841E-6
-30.000E+0	3.868E-6
-40.000E+0	3.321E-6
-50.000E+0	2.326E-6
-60.000E+0	1.026E-6
-70.000E+0	87.084E-9
-80.000E+0	4.583E-9
-90.000E+0	401.479E-12
-100.000E+0	13.453E-12
-110.000E+0	20.754E-12
-120.000E+0	20.947E-12
-130.000E+0	20.822E-12
-140.000E+0	20.712E-12
-150.000E+0	20.510E-12
-160.000E+0	20.475E-12
-170.000E+0	20.598E-12
-180.000E+0	20.786E-12
-190.000E+0	20.902E-12
-200.000E+0	21.139E-12
-210.000E+0	21.291E-12
-220.000E+0	21.636E-12
-230.000E+0	21.904E-12
-240.000E+0	22.142E-12
-250.000E+0	22.286E-12
-260.000E+0	22.588E-12
-270.000E+0	22.650E-12
-280.000E+0	22.784E-12
-290.000E+0	22.930E-12
-300.000E+0	23.007E-12
-310.000E+0	23.105E-12
-320.000E+0	23.188E-12
-330.000E+0	23.383E-12
-340.000E+0	23.631E-12
-350.000E+0	23.897E-12
-360.000E+0	24.437E-12
-370.000E+0	24.860E-12
-380.000E+0	25.841E-12
-390.000E+0	27.004E-12
-400.000E+0	28.698E-12
-410.000E+0	30.678E-12
-420.000E+0	33.285E-12
-430.000E+0	36.187E-12
-440.000E+0	40.032E-12
-450.000E+0	44.321E-12
-460.000E+0	49.507E-12
-470.000E+0	55.666E-12
-480.000E+0	63.174E-12
-490.000E+0	72.179E-12
-500.000E+0	82.604E-12
-510.000E+0	94.910E-12
-520.000E+0	109.499E-12
-530.000E+0	127.036E-12
-540.000E+0	147.186E-12
-550.000E+0	169.728E-12
-560.000E+0	196.092E-12
-570.000E+0	216.924E-12
-580.000E+0	250.610E-12
-590.000E+0	291.462E-12
-600.000E+0	331.082E-12
-610.000E+0	369.234E-12
-620.000E+0	420.302E-12
-630.000E+0	463.410E-12
-640.000E+0	516.907E-12
-650.000E+0	599.801E-12
-660.000E+0	650.378E-12
-670.000E+0	740.107E-12
-680.000E+0	789.453E-12
-690.000E+0	886.061E-12
-700.000E+0	967.153E-12
