Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC3_Meander_IV
Temperature(C)= 23.3	Humidity(%)= 7.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-252.870E-3
-950.000E-6	-259.760E-3
-900.000E-6	-255.750E-3
-850.000E-6	-247.230E-3
-800.000E-6	-239.410E-3
-750.000E-6	-224.910E-3
-700.000E-6	-210.640E-3
-650.000E-6	-200.980E-3
-600.000E-6	-185.880E-3
-550.000E-6	-171.540E-3
-500.000E-6	-157.050E-3
-450.000E-6	-143.100E-3
-400.000E-6	-129.960E-3
-350.000E-6	-116.750E-3
-300.000E-6	-103.690E-3
-250.000E-6	-90.590E-3
-200.000E-6	-77.540E-3
-150.000E-6	-64.560E-3
-100.000E-6	-51.550E-3
-50.000E-6	-38.630E-3
0.000E+0	-25.580E-3
50.000E-6	-12.580E-3
100.000E-6	520.000E-6
150.000E-6	8.880E-3
200.000E-6	23.290E-3
250.000E-6	37.730E-3
300.000E-6	52.080E-3
350.000E-6	66.010E-3
400.000E-6	79.030E-3
450.000E-6	92.070E-3
500.000E-6	105.190E-3
550.000E-6	118.270E-3
600.000E-6	131.430E-3
650.000E-6	144.540E-3
700.000E-6	157.620E-3
750.000E-6	170.610E-3
800.000E-6	183.600E-3
850.000E-6	191.860E-3
900.000E-6	206.190E-3
950.000E-6	220.580E-3
1.000E-3	230.230E-3
