Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC3_Meander_IV
Temperature(C)= 22.7	Humidity(%)= 8.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-244.130E-3
-950.000E-6	-247.320E-3
-900.000E-6	-243.180E-3
-850.000E-6	-235.210E-3
-800.000E-6	-223.450E-3
-750.000E-6	-210.970E-3
-700.000E-6	-202.930E-3
-650.000E-6	-193.580E-3
-600.000E-6	-178.800E-3
-550.000E-6	-163.960E-3
-500.000E-6	-149.670E-3
-450.000E-6	-136.680E-3
-400.000E-6	-124.160E-3
-350.000E-6	-116.070E-3
-300.000E-6	-106.770E-3
-250.000E-6	-91.760E-3
-200.000E-6	-76.880E-3
-150.000E-6	-62.550E-3
-100.000E-6	-49.510E-3
-50.000E-6	-41.500E-3
0.000E+0	-27.820E-3
50.000E-6	-14.200E-3
100.000E-6	-480.000E-6
150.000E-6	12.600E-3
200.000E-6	25.060E-3
250.000E-6	37.450E-3
300.000E-6	49.850E-3
350.000E-6	62.210E-3
400.000E-6	74.680E-3
450.000E-6	87.080E-3
500.000E-6	99.430E-3
550.000E-6	111.830E-3
600.000E-6	124.130E-3
650.000E-6	132.210E-3
700.000E-6	141.530E-3
750.000E-6	156.480E-3
800.000E-6	166.410E-3
850.000E-6	182.630E-3
900.000E-6	196.920E-3
950.000E-6	210.590E-3
1.000E-3	223.680E-3
