Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC3_Meander_IV
Temperature(C)= 19.8	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-250.580E-3
-950.000E-6	-249.330E-3
-900.000E-6	-246.820E-3
-850.000E-6	-238.050E-3
-800.000E-6	-230.540E-3
-750.000E-6	-215.500E-3
-700.000E-6	-205.480E-3
-650.000E-6	-190.450E-3
-600.000E-6	-175.410E-3
-550.000E-6	-161.630E-3
-500.000E-6	-147.850E-3
-450.000E-6	-135.320E-3
-400.000E-6	-122.790E-3
-350.000E-6	-115.270E-3
-300.000E-6	-101.480E-3
-250.000E-6	-87.690E-3
-200.000E-6	-73.910E-3
-150.000E-6	-60.140E-3
-100.000E-6	-47.610E-3
-50.000E-6	-35.090E-3
0.000E+0	-22.550E-3
50.000E-6	-10.020E-3
100.000E-6	2.500E-3
150.000E-6	15.020E-3
200.000E-6	27.560E-3
250.000E-6	40.090E-3
300.000E-6	52.620E-3
350.000E-6	65.160E-3
400.000E-6	77.690E-3
450.000E-6	90.230E-3
500.000E-6	102.760E-3
550.000E-6	115.290E-3
600.000E-6	127.820E-3
650.000E-6	140.340E-3
700.000E-6	152.870E-3
750.000E-6	165.400E-3
800.000E-6	177.920E-3
850.000E-6	190.460E-3
900.000E-6	202.990E-3
950.000E-6	215.510E-3
1.000E-3	228.040E-3
