Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC3_Meander_IV
Temperature(C)= 20.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-253.100E-3
-950.000E-6	-251.840E-3
-900.000E-6	-246.780E-3
-850.000E-6	-241.710E-3
-800.000E-6	-234.120E-3
-750.000E-6	-218.940E-3
-700.000E-6	-203.750E-3
-650.000E-6	-193.630E-3
-600.000E-6	-178.440E-3
-550.000E-6	-169.580E-3
-500.000E-6	-154.400E-3
-450.000E-6	-144.270E-3
-400.000E-6	-134.150E-3
-350.000E-6	-117.700E-3
-300.000E-6	-102.510E-3
-250.000E-6	-87.320E-3
-200.000E-6	-73.400E-3
-150.000E-6	-60.750E-3
-100.000E-6	-53.150E-3
-50.000E-6	-39.230E-3
0.000E+0	-25.310E-3
50.000E-6	-11.380E-3
100.000E-6	2.530E-3
150.000E-6	15.190E-3
200.000E-6	22.790E-3
250.000E-6	36.710E-3
300.000E-6	50.630E-3
350.000E-6	64.550E-3
400.000E-6	78.470E-3
450.000E-6	91.130E-3
500.000E-6	103.790E-3
550.000E-6	116.440E-3
600.000E-6	129.100E-3
650.000E-6	136.690E-3
700.000E-6	150.610E-3
750.000E-6	164.530E-3
800.000E-6	178.450E-3
850.000E-6	192.370E-3
900.000E-6	205.030E-3
950.000E-6	212.620E-3
1.000E-3	226.550E-3
