Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC3_Meander_IV
Temperature(C)= 22.0	Humidity(%)= 12.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-245.860E-3
-950.000E-6	-244.630E-3
-900.000E-6	-239.710E-3
-850.000E-6	-231.110E-3
-800.000E-6	-218.820E-3
-750.000E-6	-206.530E-3
-700.000E-6	-194.240E-3
-650.000E-6	-181.950E-3
-600.000E-6	-169.660E-3
-550.000E-6	-157.360E-3
-500.000E-6	-145.070E-3
-450.000E-6	-132.770E-3
-400.000E-6	-120.480E-3
-350.000E-6	-108.190E-3
-300.000E-6	-95.890E-3
-250.000E-6	-83.600E-3
-200.000E-6	-71.310E-3
-150.000E-6	-59.020E-3
-100.000E-6	-46.730E-3
-50.000E-6	-34.430E-3
0.000E+0	-22.130E-3
50.000E-6	-14.750E-3
100.000E-6	-1.230E-3
150.000E-6	12.280E-3
200.000E-6	20.890E-3
250.000E-6	35.650E-3
300.000E-6	49.170E-3
350.000E-6	62.700E-3
400.000E-6	76.230E-3
450.000E-6	88.520E-3
500.000E-6	100.810E-3
550.000E-6	113.100E-3
600.000E-6	125.400E-3
650.000E-6	137.700E-3
700.000E-6	149.990E-3
750.000E-6	162.280E-3
800.000E-6	174.570E-3
850.000E-6	186.870E-3
900.000E-6	199.170E-3
950.000E-6	211.460E-3
1.000E-3	223.760E-3
