Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC3_Meander_IV
Temperature(C)= 23.6	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-250.800E-3
-950.000E-6	-249.550E-3
-900.000E-6	-244.530E-3
-850.000E-6	-235.750E-3
-800.000E-6	-228.230E-3
-750.000E-6	-214.440E-3
-700.000E-6	-205.660E-3
-650.000E-6	-190.610E-3
-600.000E-6	-175.560E-3
-550.000E-6	-161.770E-3
-500.000E-6	-147.970E-3
-450.000E-6	-135.430E-3
-400.000E-6	-122.890E-3
-350.000E-6	-110.360E-3
-300.000E-6	-97.810E-3
-250.000E-6	-90.290E-3
-200.000E-6	-76.500E-3
-150.000E-6	-62.700E-3
-100.000E-6	-53.920E-3
-50.000E-6	-38.870E-3
0.000E+0	-25.080E-3
50.000E-6	-11.280E-3
100.000E-6	2.500E-3
150.000E-6	15.040E-3
200.000E-6	27.580E-3
250.000E-6	40.130E-3
300.000E-6	52.670E-3
350.000E-6	65.210E-3
400.000E-6	77.750E-3
450.000E-6	90.290E-3
500.000E-6	102.830E-3
550.000E-6	115.370E-3
600.000E-6	127.910E-3
650.000E-6	140.450E-3
700.000E-6	147.980E-3
750.000E-6	156.750E-3
800.000E-6	171.800E-3
850.000E-6	186.850E-3
900.000E-6	201.900E-3
950.000E-6	215.690E-3
1.000E-3	228.230E-3
