Extended_Flutes_09-Nov-20_3:05:40 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 23.3	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.930E-3
-1.900E-6	-36.730E-3
-1.800E-6	-36.310E-3
-1.700E-6	-34.920E-3
-1.600E-6	-32.900E-3
-1.500E-6	-30.630E-3
-1.400E-6	-29.180E-3
-1.300E-6	-26.860E-3
-1.200E-6	-25.380E-3
-1.100E-6	-22.940E-3
-1.000E-6	-20.580E-3
-900.000E-9	-18.550E-3
-800.000E-9	-17.300E-3
-700.000E-9	-16.070E-3
-600.000E-9	-14.030E-3
-500.000E-9	-12.000E-3
-400.000E-9	-10.640E-3
-300.000E-9	-8.630E-3
-200.000E-9	-6.770E-3
-100.000E-9	-4.900E-3
0.000E+0	-3.200E-3
100.000E-9	-3.290E-3
200.000E-9	-1.470E-3
300.000E-9	220.000E-6
400.000E-9	3.930E-3
500.000E-9	5.400E-3
600.000E-9	7.040E-3
700.000E-9	8.690E-3
800.000E-9	9.820E-3
900.000E-9	11.670E-3
1.000E-6	13.550E-3
1.100E-6	14.870E-3
1.200E-6	16.840E-3
1.300E-6	18.730E-3
1.400E-6	20.610E-3
1.500E-6	22.380E-3
1.600E-6	24.100E-3
1.700E-6	25.820E-3
1.800E-6	27.530E-3
1.900E-6	29.220E-3
2.000E-6	30.900E-3
