Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC3_VDPBulk_s
Temperature(C)= 23.3	Humidity(%)= 9.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.030E-3
-1.900E-6	-36.100E-3
-1.800E-6	-35.830E-3
-1.700E-6	-34.560E-3
-1.600E-6	-32.630E-3
-1.500E-6	-31.100E-3
-1.400E-6	-28.680E-3
-1.300E-6	-26.390E-3
-1.200E-6	-24.870E-3
-1.100E-6	-22.580E-3
-1.000E-6	-20.630E-3
-900.000E-9	-18.660E-3
-800.000E-9	-16.830E-3
-700.000E-9	-15.160E-3
-600.000E-9	-13.980E-3
-500.000E-9	-12.130E-3
-400.000E-9	-10.300E-3
-300.000E-9	-8.480E-3
-200.000E-9	-6.750E-3
-100.000E-9	-5.110E-3
0.000E+0	-3.460E-3
100.000E-9	-2.370E-3
200.000E-9	-560.000E-6
300.000E-9	1.210E-3
400.000E-9	2.940E-3
500.000E-9	4.520E-3
600.000E-9	6.070E-3
700.000E-9	7.670E-3
800.000E-9	9.210E-3
900.000E-9	10.600E-3
1.000E-6	11.420E-3
1.100E-6	12.300E-3
1.200E-6	13.630E-3
1.300E-6	15.000E-3
1.400E-6	15.940E-3
1.500E-6	17.320E-3
1.600E-6	18.710E-3
1.700E-6	19.730E-3
1.800E-6	20.850E-3
1.900E-6	22.600E-3
2.000E-6	24.360E-3
