Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 22.7	Humidity(%)= 8.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.390E-3
-1.900E-6	-36.190E-3
-1.800E-6	-35.800E-3
-1.700E-6	-35.000E-3
-1.600E-6	-32.960E-3
-1.500E-6	-30.490E-3
-1.400E-6	-27.980E-3
-1.300E-6	-25.670E-3
-1.200E-6	-23.620E-3
-1.100E-6	-21.670E-3
-1.000E-6	-19.820E-3
-900.000E-9	-18.050E-3
-800.000E-9	-16.340E-3
-700.000E-9	-14.670E-3
-600.000E-9	-13.000E-3
-500.000E-9	-12.000E-3
-400.000E-9	-10.170E-3
-300.000E-9	-9.000E-3
-200.000E-9	-7.000E-3
-100.000E-9	-5.670E-3
0.000E+0	-3.670E-3
100.000E-9	-1.670E-3
200.000E-9	160.000E-6
300.000E-9	1.990E-3
400.000E-9	3.670E-3
500.000E-9	4.670E-3
600.000E-9	6.520E-3
700.000E-9	7.700E-3
800.000E-9	9.720E-3
900.000E-9	11.750E-3
1.000E-6	13.610E-3
1.100E-6	15.470E-3
1.200E-6	17.170E-3
1.300E-6	18.870E-3
1.400E-6	19.890E-3
1.500E-6	21.760E-3
1.600E-6	23.640E-3
1.700E-6	24.830E-3
1.800E-6	26.880E-3
1.900E-6	28.760E-3
2.000E-6	30.650E-3
