Custom_Flutes_18-Nov-20_11:42:15 AM	Left_PQC3_VDPBulk_s
Temperature(C)= 21.1	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.270E-3
-1.900E-6	-35.100E-3
-1.800E-6	-34.320E-3
-1.700E-6	-32.940E-3
-1.600E-6	-30.950E-3
-1.500E-6	-29.710E-3
-1.400E-6	-28.280E-3
-1.300E-6	-25.860E-3
-1.200E-6	-23.510E-3
-1.100E-6	-21.250E-3
-1.000E-6	-19.300E-3
-900.000E-9	-17.600E-3
-800.000E-9	-16.610E-3
-700.000E-9	-14.810E-3
-600.000E-9	-13.020E-3
-500.000E-9	-11.230E-3
-400.000E-9	-10.090E-3
-300.000E-9	-8.950E-3
-200.000E-9	-7.000E-3
-100.000E-9	-5.050E-3
0.000E+0	-3.090E-3
100.000E-9	-1.310E-3
200.000E-9	310.000E-6
300.000E-9	1.940E-3
400.000E-9	3.580E-3
500.000E-9	5.220E-3
600.000E-9	6.870E-3
700.000E-9	8.510E-3
800.000E-9	10.160E-3
900.000E-9	11.800E-3
1.000E-6	13.450E-3
1.100E-6	15.100E-3
1.200E-6	16.090E-3
1.300E-6	17.260E-3
1.400E-6	18.580E-3
1.500E-6	19.910E-3
1.600E-6	22.240E-3
1.700E-6	23.740E-3
1.800E-6	26.070E-3
1.900E-6	27.400E-3
2.000E-6	28.740E-3
