Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 22.2	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.450E-3
-1.900E-6	-36.590E-3
-1.800E-6	-36.650E-3
-1.700E-6	-36.010E-3
-1.600E-6	-34.830E-3
-1.500E-6	-32.240E-3
-1.400E-6	-29.530E-3
-1.300E-6	-27.090E-3
-1.200E-6	-25.630E-3
-1.100E-6	-23.450E-3
-1.000E-6	-21.480E-3
-900.000E-9	-19.490E-3
-800.000E-9	-17.660E-3
-700.000E-9	-15.980E-3
-600.000E-9	-14.200E-3
-500.000E-9	-12.530E-3
-400.000E-9	-11.450E-3
-300.000E-9	-9.610E-3
-200.000E-9	-7.770E-3
-100.000E-9	-6.530E-3
0.000E+0	-4.590E-3
100.000E-9	-2.740E-3
200.000E-9	-900.000E-6
300.000E-9	850.000E-6
400.000E-9	2.500E-3
500.000E-9	4.200E-3
600.000E-9	5.910E-3
700.000E-9	7.010E-3
800.000E-9	8.900E-3
900.000E-9	10.150E-3
1.000E-6	12.190E-3
1.100E-6	13.550E-3
1.200E-6	15.620E-3
1.300E-6	17.580E-3
1.400E-6	19.420E-3
1.500E-6	21.180E-3
1.600E-6	22.240E-3
1.700E-6	24.060E-3
1.800E-6	25.910E-3
1.900E-6	27.220E-3
2.000E-6	29.190E-3
