Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 22.1	Humidity(%)= 11.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-37.020E-3
-1.900E-6	-36.840E-3
-1.800E-6	-36.030E-3
-1.700E-6	-34.600E-3
-1.600E-6	-32.530E-3
-1.500E-6	-30.410E-3
-1.400E-6	-28.250E-3
-1.300E-6	-26.940E-3
-1.200E-6	-24.630E-3
-1.100E-6	-22.420E-3
-1.000E-6	-20.340E-3
-900.000E-9	-18.350E-3
-800.000E-9	-16.620E-3
-700.000E-9	-14.920E-3
-600.000E-9	-13.210E-3
-500.000E-9	-12.190E-3
-400.000E-9	-10.340E-3
-300.000E-9	-8.490E-3
-200.000E-9	-6.630E-3
-100.000E-9	-4.780E-3
0.000E+0	-3.090E-3
100.000E-9	-1.390E-3
200.000E-9	290.000E-6
300.000E-9	1.990E-3
400.000E-9	3.680E-3
500.000E-9	4.710E-3
600.000E-9	6.590E-3
700.000E-9	8.480E-3
800.000E-9	10.370E-3
900.000E-9	12.240E-3
1.000E-6	13.960E-3
1.100E-6	15.690E-3
1.200E-6	16.740E-3
1.300E-6	18.650E-3
1.400E-6	19.910E-3
1.500E-6	21.290E-3
1.600E-6	22.670E-3
1.700E-6	25.100E-3
1.800E-6	27.310E-3
1.900E-6	29.390E-3
2.000E-6	31.290E-3
