Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC3_VDPBulk_r
Temperature(C)= 20.3	Humidity(%)= 6.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.120E-3
-1.900E-6	-34.970E-3
-1.800E-6	-34.670E-3
-1.700E-6	-33.410E-3
-1.600E-6	-32.230E-3
-1.500E-6	-29.850E-3
-1.400E-6	-27.500E-3
-1.300E-6	-25.980E-3
-1.200E-6	-24.390E-3
-1.100E-6	-22.840E-3
-1.000E-6	-21.280E-3
-900.000E-9	-19.600E-3
-800.000E-9	-17.100E-3
-700.000E-9	-15.610E-3
-600.000E-9	-14.140E-3
-500.000E-9	-11.940E-3
-400.000E-9	-10.010E-3
-300.000E-9	-8.150E-3
-200.000E-9	-7.030E-3
-100.000E-9	-5.260E-3
0.000E+0	-3.500E-3
100.000E-9	-2.290E-3
200.000E-9	-430.000E-6
300.000E-9	1.330E-3
400.000E-9	3.110E-3
500.000E-9	4.820E-3
600.000E-9	6.440E-3
700.000E-9	8.080E-3
800.000E-9	9.710E-3
900.000E-9	11.340E-3
1.000E-6	12.980E-3
1.100E-6	14.700E-3
1.200E-6	15.770E-3
1.300E-6	17.590E-3
1.400E-6	19.380E-3
1.500E-6	21.100E-3
1.600E-6	22.830E-3
1.700E-6	24.480E-3
1.800E-6	26.150E-3
1.900E-6	27.820E-3
2.000E-6	29.490E-3
