Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 21.6	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.460E-3
-1.900E-6	-35.460E-3
-1.800E-6	-34.660E-3
-1.700E-6	-33.860E-3
-1.600E-6	-31.840E-3
-1.500E-6	-29.390E-3
-1.400E-6	-27.940E-3
-1.300E-6	-25.510E-3
-1.200E-6	-23.370E-3
-1.100E-6	-21.320E-3
-1.000E-6	-19.360E-3
-900.000E-9	-18.340E-3
-800.000E-9	-17.160E-3
-700.000E-9	-15.190E-3
-600.000E-9	-13.230E-3
-500.000E-9	-11.280E-3
-400.000E-9	-9.480E-3
-300.000E-9	-8.500E-3
-200.000E-9	-6.710E-3
-100.000E-9	-5.560E-3
0.000E+0	-3.600E-3
100.000E-9	-2.300E-3
200.000E-9	-330.000E-6
300.000E-9	1.630E-3
400.000E-9	3.440E-3
500.000E-9	5.250E-3
600.000E-9	6.900E-3
700.000E-9	8.550E-3
800.000E-9	10.210E-3
900.000E-9	11.860E-3
1.000E-6	13.520E-3
1.100E-6	15.180E-3
1.200E-6	16.840E-3
1.300E-6	18.510E-3
1.400E-6	20.180E-3
1.500E-6	21.840E-3
1.600E-6	23.510E-3
1.700E-6	25.170E-3
1.800E-6	26.180E-3
1.900E-6	28.020E-3
2.000E-6	29.880E-3
