Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC3_VDPBulk_r
Temperature(C)= 21.8	Humidity(%)= 11.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.570E-3
-1.900E-6	-35.580E-3
-1.800E-6	-34.790E-3
-1.700E-6	-33.390E-3
-1.600E-6	-31.370E-3
-1.500E-6	-29.110E-3
-1.400E-6	-27.030E-3
-1.300E-6	-24.990E-3
-1.200E-6	-23.020E-3
-1.100E-6	-21.150E-3
-1.000E-6	-19.380E-3
-900.000E-9	-17.670E-3
-800.000E-9	-16.000E-3
-700.000E-9	-14.360E-3
-600.000E-9	-12.730E-3
-500.000E-9	-11.100E-3
-400.000E-9	-9.470E-3
-300.000E-9	-7.840E-3
-200.000E-9	-6.200E-3
-100.000E-9	-4.570E-3
0.000E+0	-2.940E-3
100.000E-9	-1.300E-3
200.000E-9	320.000E-6
300.000E-9	1.960E-3
400.000E-9	3.610E-3
500.000E-9	5.250E-3
600.000E-9	6.900E-3
700.000E-9	8.560E-3
800.000E-9	10.210E-3
900.000E-9	11.210E-3
1.000E-6	13.030E-3
1.100E-6	14.860E-3
1.200E-6	16.690E-3
1.300E-6	17.850E-3
1.400E-6	19.690E-3
1.500E-6	20.850E-3
1.600E-6	22.860E-3
1.700E-6	24.870E-3
1.800E-6	26.710E-3
1.900E-6	28.550E-3
2.000E-6	30.230E-3
