Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC3_VDPBulk_s
Temperature(C)= 19.8	Humidity(%)= 13.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-34.900E-3
-1.900E-6	-34.710E-3
-1.800E-6	-33.950E-3
-1.700E-6	-32.620E-3
-1.600E-6	-31.470E-3
-1.500E-6	-29.340E-3
-1.400E-6	-27.180E-3
-1.300E-6	-25.000E-3
-1.200E-6	-22.850E-3
-1.100E-6	-20.970E-3
-1.000E-6	-19.170E-3
-900.000E-9	-17.440E-3
-800.000E-9	-15.770E-3
-700.000E-9	-14.140E-3
-600.000E-9	-12.530E-3
-500.000E-9	-10.920E-3
-400.000E-9	-9.320E-3
-300.000E-9	-7.720E-3
-200.000E-9	-6.110E-3
-100.000E-9	-4.510E-3
0.000E+0	-2.900E-3
100.000E-9	-1.930E-3
200.000E-9	-160.000E-6
300.000E-9	1.600E-3
400.000E-9	3.370E-3
500.000E-9	5.150E-3
600.000E-9	6.770E-3
700.000E-9	8.400E-3
800.000E-9	10.020E-3
900.000E-9	11.650E-3
1.000E-6	13.280E-3
1.100E-6	14.260E-3
1.200E-6	16.060E-3
1.300E-6	17.870E-3
1.400E-6	19.670E-3
1.500E-6	21.480E-3
1.600E-6	23.120E-3
1.700E-6	24.770E-3
1.800E-6	26.410E-3
1.900E-6	27.400E-3
2.000E-6	29.220E-3
