Custom_Flutes_23-Nov-20_2:32:03 PM	Right_PQC3_VDPBulk_s
Temperature(C)= 21.1	Humidity(%)= 15.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-35.380E-3
-1.900E-6	-35.210E-3
-1.800E-6	-34.810E-3
-1.700E-6	-33.450E-3
-1.600E-6	-31.510E-3
-1.500E-6	-30.070E-3
-1.400E-6	-27.690E-3
-1.300E-6	-25.480E-3
-1.200E-6	-23.270E-3
-1.100E-6	-21.920E-3
-1.000E-6	-20.600E-3
-900.000E-9	-19.130E-3
-800.000E-9	-16.870E-3
-700.000E-9	-14.690E-3
-600.000E-9	-12.700E-3
-500.000E-9	-10.910E-3
-400.000E-9	-9.290E-3
-300.000E-9	-7.650E-3
-200.000E-9	-6.020E-3
-100.000E-9	-4.390E-3
0.000E+0	-2.760E-3
100.000E-9	-1.140E-3
200.000E-9	480.000E-6
300.000E-9	2.100E-3
400.000E-9	3.740E-3
500.000E-9	4.730E-3
600.000E-9	6.550E-3
700.000E-9	8.360E-3
800.000E-9	10.180E-3
900.000E-9	11.990E-3
1.000E-6	13.640E-3
1.100E-6	15.280E-3
1.200E-6	16.920E-3
1.300E-6	18.580E-3
1.400E-6	20.230E-3
1.500E-6	21.910E-3
1.600E-6	23.580E-3
1.700E-6	24.580E-3
1.800E-6	26.410E-3
1.900E-6	28.250E-3
2.000E-6	30.080E-3
