Custom_Flutes_19-Nov-20_5:20:54 PM	Left_PQC3_VDPBulk_r
Temperature(C)= 22.2	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-36.260E-3
-1.900E-6	-36.060E-3
-1.800E-6	-35.260E-3
-1.700E-6	-33.870E-3
-1.600E-6	-31.880E-3
-1.500E-6	-29.880E-3
-1.400E-6	-27.850E-3
-1.300E-6	-26.600E-3
-1.200E-6	-24.350E-3
-1.100E-6	-22.930E-3
-1.000E-6	-21.340E-3
-900.000E-9	-18.910E-3
-800.000E-9	-16.780E-3
-700.000E-9	-14.720E-3
-600.000E-9	-12.890E-3
-500.000E-9	-11.240E-3
-400.000E-9	-10.250E-3
-300.000E-9	-9.100E-3
-200.000E-9	-7.120E-3
-100.000E-9	-5.140E-3
0.000E+0	-3.160E-3
100.000E-9	-2.000E-3
200.000E-9	-170.000E-6
300.000E-9	1.640E-3
400.000E-9	3.470E-3
500.000E-9	5.300E-3
600.000E-9	6.970E-3
700.000E-9	8.640E-3
800.000E-9	10.310E-3
900.000E-9	11.990E-3
1.000E-6	13.670E-3
1.100E-6	15.350E-3
1.200E-6	17.040E-3
1.300E-6	18.730E-3
1.400E-6	20.420E-3
1.500E-6	22.110E-3
1.600E-6	23.800E-3
1.700E-6	25.490E-3
1.800E-6	27.190E-3
1.900E-6	28.890E-3
2.000E-6	30.590E-3
