Extended_Flutes_09-Nov-20_5:45:02 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 24.3	Humidity(%)= 8.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.780E-3
-9.500E-6	-2.770E-3
-9.000E-6	-2.710E-3
-8.500E-6	-2.620E-3
-8.000E-6	-2.480E-3
-7.500E-6	-2.340E-3
-7.000E-6	-2.200E-3
-6.500E-6	-2.060E-3
-6.000E-6	-1.920E-3
-5.500E-6	-1.780E-3
-5.000E-6	-1.640E-3
-4.500E-6	-1.500E-3
-4.000E-6	-1.420E-3
-3.500E-6	-1.260E-3
-3.000E-6	-1.110E-3
-2.500E-6	-960.000E-6
-2.000E-6	-810.000E-6
-1.500E-6	-670.000E-6
-1.000E-6	-530.000E-6
-500.000E-9	-440.000E-6
-1.694E-21	-290.000E-6
500.000E-9	-140.000E-6
1.000E-6	10.000E-6
1.500E-6	160.000E-6
2.000E-6	300.000E-6
2.500E-6	440.000E-6
3.000E-6	580.000E-6
3.500E-6	720.000E-6
4.000E-6	850.000E-6
4.500E-6	990.000E-6
5.000E-6	1.130E-3
5.500E-6	1.270E-3
6.000E-6	1.410E-3
6.500E-6	1.550E-3
7.000E-6	1.690E-3
7.500E-6	1.830E-3
8.000E-6	1.920E-3
8.500E-6	2.070E-3
9.000E-6	2.220E-3
9.500E-6	2.370E-3
10.000E-6	2.470E-3
