Extended_Flutes_09-Nov-20_3:05:40 PM	Right_PQC3_VDPEdge_r
Temperature(C)= 23.3	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.660E-3
-9.500E-6	-2.660E-3
-9.000E-6	-2.610E-3
-8.500E-6	-2.510E-3
-8.000E-6	-2.380E-3
-7.500E-6	-2.230E-3
-7.000E-6	-2.100E-3
-6.500E-6	-1.960E-3
-6.000E-6	-1.830E-3
-5.500E-6	-1.700E-3
-5.000E-6	-1.570E-3
-4.500E-6	-1.430E-3
-4.000E-6	-1.300E-3
-3.500E-6	-1.170E-3
-3.000E-6	-1.030E-3
-2.500E-6	-900.000E-6
-2.000E-6	-770.000E-6
-1.500E-6	-640.000E-6
-1.000E-6	-500.000E-6
-500.000E-9	-370.000E-6
-1.694E-21	-240.000E-6
500.000E-9	-110.000E-6
1.000E-6	20.000E-6
1.500E-6	150.000E-6
2.000E-6	280.000E-6
2.500E-6	410.000E-6
3.000E-6	550.000E-6
3.500E-6	680.000E-6
4.000E-6	810.000E-6
4.500E-6	940.000E-6
5.000E-6	1.080E-3
5.500E-6	1.210E-3
6.000E-6	1.340E-3
6.500E-6	1.430E-3
7.000E-6	1.570E-3
7.500E-6	1.720E-3
8.000E-6	1.810E-3
8.500E-6	1.970E-3
9.000E-6	2.060E-3
9.500E-6	2.220E-3
10.000E-6	2.380E-3
