Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC3_VDPEdge_s
Temperature(C)= 23.6	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.630E-3
-9.500E-6	-2.630E-3
-9.000E-6	-2.570E-3
-8.500E-6	-2.520E-3
-8.000E-6	-2.440E-3
-7.500E-6	-2.270E-3
-7.000E-6	-2.110E-3
-6.500E-6	-1.950E-3
-6.000E-6	-1.860E-3
-5.500E-6	-1.710E-3
-5.000E-6	-1.570E-3
-4.500E-6	-1.420E-3
-4.000E-6	-1.280E-3
-3.500E-6	-1.200E-3
-3.000E-6	-1.100E-3
-2.500E-6	-940.000E-6
-2.000E-6	-780.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-530.000E-6
-500.000E-9	-390.000E-6
-1.694E-21	-240.000E-6
500.000E-9	-150.000E-6
1.000E-6	0.000E+0
1.500E-6	90.000E-6
2.000E-6	250.000E-6
2.500E-6	410.000E-6
3.000E-6	560.000E-6
3.500E-6	650.000E-6
4.000E-6	800.000E-6
4.500E-6	940.000E-6
5.000E-6	1.090E-3
5.500E-6	1.230E-3
6.000E-6	1.360E-3
6.500E-6	1.500E-3
7.000E-6	1.630E-3
7.500E-6	1.760E-3
8.000E-6	1.900E-3
8.500E-6	1.980E-3
9.000E-6	2.120E-3
9.500E-6	2.210E-3
10.000E-6	2.320E-3
