Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC3_VDPEdge_r
Temperature(C)= 23.2	Humidity(%)= 7.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.760E-3
-9.500E-6	-2.760E-3
-9.000E-6	-2.700E-3
-8.500E-6	-2.610E-3
-8.000E-6	-2.520E-3
-7.500E-6	-2.360E-3
-7.000E-6	-2.200E-3
-6.500E-6	-2.050E-3
-6.000E-6	-1.900E-3
-5.500E-6	-1.810E-3
-5.000E-6	-1.720E-3
-4.500E-6	-1.550E-3
-4.000E-6	-1.440E-3
-3.500E-6	-1.330E-3
-3.000E-6	-1.140E-3
-2.500E-6	-970.000E-6
-2.000E-6	-810.000E-6
-1.500E-6	-650.000E-6
-1.000E-6	-520.000E-6
-500.000E-9	-380.000E-6
-1.694E-21	-240.000E-6
500.000E-9	-100.000E-6
1.000E-6	20.000E-6
1.500E-6	160.000E-6
2.000E-6	300.000E-6
2.500E-6	440.000E-6
3.000E-6	580.000E-6
3.500E-6	710.000E-6
4.000E-6	850.000E-6
4.500E-6	990.000E-6
5.000E-6	1.070E-3
5.500E-6	1.170E-3
6.000E-6	1.330E-3
6.500E-6	1.440E-3
7.000E-6	1.620E-3
7.500E-6	1.790E-3
8.000E-6	1.940E-3
8.500E-6	2.100E-3
9.000E-6	2.230E-3
9.500E-6	2.320E-3
10.000E-6	2.410E-3
