Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 22.2	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-33.080E-3
-9.500E-6	-33.080E-3
-9.000E-6	-32.760E-3
-8.500E-6	-31.610E-3
-8.000E-6	-29.970E-3
-7.500E-6	-28.000E-3
-7.000E-6	-26.190E-3
-6.500E-6	-25.200E-3
-6.000E-6	-24.050E-3
-5.500E-6	-22.730E-3
-5.000E-6	-20.580E-3
-4.500E-6	-18.440E-3
-4.000E-6	-16.450E-3
-3.500E-6	-14.630E-3
-3.000E-6	-12.970E-3
-2.500E-6	-11.980E-3
-2.000E-6	-10.810E-3
-1.500E-6	-8.820E-3
-1.000E-6	-6.830E-3
-500.000E-9	-4.830E-3
-1.694E-21	-3.000E-3
500.000E-9	-2.000E-3
1.000E-6	-160.000E-6
1.500E-6	1.670E-3
2.000E-6	3.510E-3
2.500E-6	5.350E-3
3.000E-6	7.020E-3
3.500E-6	8.700E-3
4.000E-6	10.380E-3
4.500E-6	12.060E-3
5.000E-6	13.070E-3
5.500E-6	14.920E-3
6.000E-6	16.770E-3
6.500E-6	17.950E-3
7.000E-6	19.970E-3
7.500E-6	21.820E-3
8.000E-6	23.000E-3
8.500E-6	25.030E-3
9.000E-6	26.890E-3
9.500E-6	28.750E-3
10.000E-6	29.940E-3
