Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC3_VDPEdge_r
Temperature(C)= 22.1	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.740E-3
-9.500E-6	-2.720E-3
-9.000E-6	-2.700E-3
-8.500E-6	-2.640E-3
-8.000E-6	-2.500E-3
-7.500E-6	-2.390E-3
-7.000E-6	-2.210E-3
-6.500E-6	-2.050E-3
-6.000E-6	-1.900E-3
-5.500E-6	-1.750E-3
-5.000E-6	-1.610E-3
-4.500E-6	-1.470E-3
-4.000E-6	-1.330E-3
-3.500E-6	-1.200E-3
-3.000E-6	-1.060E-3
-2.500E-6	-930.000E-6
-2.000E-6	-790.000E-6
-1.500E-6	-650.000E-6
-1.000E-6	-510.000E-6
-500.000E-9	-430.000E-6
-1.694E-21	-280.000E-6
500.000E-9	-130.000E-6
1.000E-6	10.000E-6
1.500E-6	160.000E-6
2.000E-6	300.000E-6
2.500E-6	440.000E-6
3.000E-6	570.000E-6
3.500E-6	710.000E-6
4.000E-6	850.000E-6
4.500E-6	930.000E-6
5.000E-6	1.080E-3
5.500E-6	1.180E-3
6.000E-6	1.340E-3
6.500E-6	1.510E-3
7.000E-6	1.660E-3
7.500E-6	1.760E-3
8.000E-6	1.910E-3
8.500E-6	2.060E-3
9.000E-6	2.210E-3
9.500E-6	2.360E-3
10.000E-6	2.500E-3
