Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC3_VDPEdge_s
Temperature(C)= 22.1	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.420E-3
-9.500E-6	-2.410E-3
-9.000E-6	-2.360E-3
-8.500E-6	-2.260E-3
-8.000E-6	-2.180E-3
-7.500E-6	-2.020E-3
-7.000E-6	-1.870E-3
-6.500E-6	-1.720E-3
-6.000E-6	-1.570E-3
-5.500E-6	-1.490E-3
-5.000E-6	-1.330E-3
-4.500E-6	-1.180E-3
-4.000E-6	-1.030E-3
-3.500E-6	-880.000E-6
-3.000E-6	-740.000E-6
-2.500E-6	-600.000E-6
-2.000E-6	-470.000E-6
-1.500E-6	-330.000E-6
-1.000E-6	-190.000E-6
-500.000E-9	-50.000E-6
-1.694E-21	70.000E-6
500.000E-9	160.000E-6
1.000E-6	250.000E-6
1.500E-6	360.000E-6
2.000E-6	540.000E-6
2.500E-6	720.000E-6
3.000E-6	880.000E-6
3.500E-6	980.000E-6
4.000E-6	1.130E-3
4.500E-6	1.280E-3
5.000E-6	1.440E-3
5.500E-6	1.590E-3
6.000E-6	1.730E-3
6.500E-6	1.810E-3
7.000E-6	1.960E-3
7.500E-6	2.110E-3
8.000E-6	2.210E-3
8.500E-6	2.370E-3
9.000E-6	2.520E-3
9.500E-6	2.680E-3
10.000E-6	2.770E-3
