Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC3_VDPEdge_r
Temperature(C)= 20.8	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.600E-3
-9.500E-6	-2.590E-3
-9.000E-6	-2.560E-3
-8.500E-6	-2.470E-3
-8.000E-6	-2.340E-3
-7.500E-6	-2.200E-3
-7.000E-6	-2.050E-3
-6.500E-6	-1.920E-3
-6.000E-6	-1.790E-3
-5.500E-6	-1.660E-3
-5.000E-6	-1.530E-3
-4.500E-6	-1.400E-3
-4.000E-6	-1.320E-3
-3.500E-6	-1.180E-3
-3.000E-6	-1.090E-3
-2.500E-6	-930.000E-6
-2.000E-6	-780.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-490.000E-6
-500.000E-9	-360.000E-6
-1.694E-21	-230.000E-6
500.000E-9	-100.000E-6
1.000E-6	20.000E-6
1.500E-6	150.000E-6
2.000E-6	280.000E-6
2.500E-6	360.000E-6
3.000E-6	500.000E-6
3.500E-6	650.000E-6
4.000E-6	790.000E-6
4.500E-6	930.000E-6
5.000E-6	1.060E-3
5.500E-6	1.200E-3
6.000E-6	1.330E-3
6.500E-6	1.460E-3
7.000E-6	1.590E-3
7.500E-6	1.720E-3
8.000E-6	1.850E-3
8.500E-6	1.930E-3
9.000E-6	2.070E-3
9.500E-6	2.210E-3
10.000E-6	2.350E-3
