Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC3_VDPEdge_r
Temperature(C)= 20.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.610E-3
-9.500E-6	-2.610E-3
-9.000E-6	-2.560E-3
-8.500E-6	-2.500E-3
-8.000E-6	-2.370E-3
-7.500E-6	-2.270E-3
-7.000E-6	-2.110E-3
-6.500E-6	-1.960E-3
-6.000E-6	-1.810E-3
-5.500E-6	-1.670E-3
-5.000E-6	-1.540E-3
-4.500E-6	-1.410E-3
-4.000E-6	-1.280E-3
-3.500E-6	-1.200E-3
-3.000E-6	-1.050E-3
-2.500E-6	-910.000E-6
-2.000E-6	-770.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-490.000E-6
-500.000E-9	-360.000E-6
-1.694E-21	-230.000E-6
500.000E-9	-100.000E-6
1.000E-6	20.000E-6
1.500E-6	150.000E-6
2.000E-6	280.000E-6
2.500E-6	360.000E-6
3.000E-6	500.000E-6
3.500E-6	640.000E-6
4.000E-6	790.000E-6
4.500E-6	930.000E-6
5.000E-6	1.060E-3
5.500E-6	1.190E-3
6.000E-6	1.320E-3
6.500E-6	1.450E-3
7.000E-6	1.580E-3
7.500E-6	1.710E-3
8.000E-6	1.840E-3
8.500E-6	1.920E-3
9.000E-6	2.070E-3
9.500E-6	2.160E-3
10.000E-6	2.260E-3
