Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC3_VDPEdge_r
Temperature(C)= 20.4	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.740E-3
-9.500E-6	-2.720E-3
-9.000E-6	-2.670E-3
-8.500E-6	-2.610E-3
-8.000E-6	-2.470E-3
-7.500E-6	-2.320E-3
-7.000E-6	-2.180E-3
-6.500E-6	-2.020E-3
-6.000E-6	-1.890E-3
-5.500E-6	-1.750E-3
-5.000E-6	-1.670E-3
-4.500E-6	-1.520E-3
-4.000E-6	-1.420E-3
-3.500E-6	-1.310E-3
-3.000E-6	-1.130E-3
-2.500E-6	-970.000E-6
-2.000E-6	-810.000E-6
-1.500E-6	-660.000E-6
-1.000E-6	-570.000E-6
-500.000E-9	-420.000E-6
-1.694E-21	-270.000E-6
500.000E-9	-170.000E-6
1.000E-6	-10.000E-6
1.500E-6	130.000E-6
2.000E-6	280.000E-6
2.500E-6	440.000E-6
3.000E-6	570.000E-6
3.500E-6	710.000E-6
4.000E-6	850.000E-6
4.500E-6	980.000E-6
5.000E-6	1.120E-3
5.500E-6	1.260E-3
6.000E-6	1.390E-3
6.500E-6	1.530E-3
7.000E-6	1.670E-3
7.500E-6	1.810E-3
8.000E-6	1.940E-3
8.500E-6	2.080E-3
9.000E-6	2.220E-3
9.500E-6	2.360E-3
10.000E-6	2.490E-3
