Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC3_VDPEdge_r
Temperature(C)= 21.6	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.640E-3
-9.500E-6	-2.630E-3
-9.000E-6	-2.570E-3
-8.500E-6	-2.480E-3
-8.000E-6	-2.350E-3
-7.500E-6	-2.210E-3
-7.000E-6	-2.080E-3
-6.500E-6	-2.000E-3
-6.000E-6	-1.860E-3
-5.500E-6	-1.710E-3
-5.000E-6	-1.570E-3
-4.500E-6	-1.420E-3
-4.000E-6	-1.290E-3
-3.500E-6	-1.160E-3
-3.000E-6	-1.020E-3
-2.500E-6	-890.000E-6
-2.000E-6	-760.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-550.000E-6
-500.000E-9	-400.000E-6
-1.694E-21	-250.000E-6
500.000E-9	-160.000E-6
1.000E-6	-0.000E+0
1.500E-6	130.000E-6
2.000E-6	280.000E-6
2.500E-6	420.000E-6
3.000E-6	560.000E-6
3.500E-6	690.000E-6
4.000E-6	820.000E-6
4.500E-6	950.000E-6
5.000E-6	1.080E-3
5.500E-6	1.220E-3
6.000E-6	1.350E-3
6.500E-6	1.480E-3
7.000E-6	1.610E-3
7.500E-6	1.750E-3
8.000E-6	1.830E-3
8.500E-6	1.970E-3
9.000E-6	2.120E-3
9.500E-6	2.260E-3
10.000E-6	2.410E-3
