Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC3_VDPEdge_s
Temperature(C)= 21.6	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.650E-3
-9.500E-6	-2.650E-3
-9.000E-6	-2.630E-3
-8.500E-6	-2.570E-3
-8.000E-6	-2.440E-3
-7.500E-6	-2.270E-3
-7.000E-6	-2.110E-3
-6.500E-6	-1.960E-3
-6.000E-6	-1.830E-3
-5.500E-6	-1.700E-3
-5.000E-6	-1.560E-3
-4.500E-6	-1.430E-3
-4.000E-6	-1.300E-3
-3.500E-6	-1.220E-3
-3.000E-6	-1.070E-3
-2.500E-6	-920.000E-6
-2.000E-6	-780.000E-6
-1.500E-6	-630.000E-6
-1.000E-6	-550.000E-6
-500.000E-9	-400.000E-6
-1.694E-21	-260.000E-6
500.000E-9	-160.000E-6
1.000E-6	-10.000E-6
1.500E-6	130.000E-6
2.000E-6	280.000E-6
2.500E-6	420.000E-6
3.000E-6	550.000E-6
3.500E-6	690.000E-6
4.000E-6	820.000E-6
4.500E-6	950.000E-6
5.000E-6	1.090E-3
5.500E-6	1.220E-3
6.000E-6	1.350E-3
6.500E-6	1.490E-3
7.000E-6	1.620E-3
7.500E-6	1.750E-3
8.000E-6	1.880E-3
8.500E-6	2.010E-3
9.000E-6	2.150E-3
9.500E-6	2.230E-3
10.000E-6	2.380E-3
