Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 19.9	Humidity(%)= 13.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.870E-3
-9.500E-6	-34.700E-3
-9.000E-6	-34.010E-3
-8.500E-6	-33.310E-3
-8.000E-6	-31.590E-3
-7.500E-6	-30.370E-3
-7.000E-6	-28.300E-3
-6.500E-6	-26.910E-3
-6.000E-6	-24.820E-3
-5.500E-6	-22.740E-3
-5.000E-6	-20.830E-3
-4.500E-6	-18.910E-3
-4.000E-6	-17.170E-3
-3.500E-6	-15.430E-3
-3.000E-6	-13.680E-3
-2.500E-6	-11.930E-3
-2.000E-6	-10.180E-3
-1.500E-6	-8.430E-3
-1.000E-6	-6.670E-3
-500.000E-9	-4.920E-3
-1.694E-21	-3.160E-3
500.000E-9	-1.400E-3
1.000E-6	350.000E-6
1.500E-6	2.110E-3
2.000E-6	3.870E-3
2.500E-6	5.630E-3
3.000E-6	7.400E-3
3.500E-6	9.170E-3
4.000E-6	10.940E-3
4.500E-6	12.710E-3
5.000E-6	14.480E-3
5.500E-6	16.260E-3
6.000E-6	18.030E-3
6.500E-6	19.810E-3
7.000E-6	21.590E-3
7.500E-6	23.370E-3
8.000E-6	25.150E-3
8.500E-6	26.930E-3
9.000E-6	28.720E-3
9.500E-6	30.500E-3
10.000E-6	32.290E-3
