Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC3_VDPEdge_s
Temperature(C)= 19.9	Humidity(%)= 13.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-2.440E-3
-9.500E-6	-2.420E-3
-9.000E-6	-2.370E-3
-8.500E-6	-2.270E-3
-8.000E-6	-2.130E-3
-7.500E-6	-2.000E-3
-7.000E-6	-1.860E-3
-6.500E-6	-1.770E-3
-6.000E-6	-1.620E-3
-5.500E-6	-1.470E-3
-5.000E-6	-1.320E-3
-4.500E-6	-1.170E-3
-4.000E-6	-1.030E-3
-3.500E-6	-890.000E-6
-3.000E-6	-760.000E-6
-2.500E-6	-620.000E-6
-2.000E-6	-480.000E-6
-1.500E-6	-340.000E-6
-1.000E-6	-200.000E-6
-500.000E-9	-70.000E-6
-1.694E-21	60.000E-6
500.000E-9	200.000E-6
1.000E-6	340.000E-6
1.500E-6	470.000E-6
2.000E-6	610.000E-6
2.500E-6	750.000E-6
3.000E-6	890.000E-6
3.500E-6	1.020E-3
4.000E-6	1.160E-3
4.500E-6	1.300E-3
5.000E-6	1.440E-3
5.500E-6	1.570E-3
6.000E-6	1.710E-3
6.500E-6	1.790E-3
7.000E-6	1.950E-3
7.500E-6	2.100E-3
8.000E-6	2.250E-3
8.500E-6	2.400E-3
9.000E-6	2.540E-3
9.500E-6	2.670E-3
10.000E-6	2.810E-3
