Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC3_VDPEdge_linewidth
Temperature(C)= 22.9	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-34.640E-3
-9.500E-6	-34.640E-3
-9.000E-6	-33.960E-3
-8.500E-6	-33.270E-3
-8.000E-6	-31.550E-3
-7.500E-6	-29.490E-3
-7.000E-6	-28.290E-3
-6.500E-6	-26.910E-3
-6.000E-6	-24.840E-3
-5.500E-6	-23.460E-3
-5.000E-6	-21.210E-3
-4.500E-6	-19.830E-3
-4.000E-6	-18.440E-3
-3.500E-6	-17.060E-3
-3.000E-6	-14.630E-3
-2.500E-6	-12.380E-3
-2.000E-6	-10.990E-3
-1.500E-6	-8.900E-3
-1.000E-6	-6.980E-3
-500.000E-9	-5.760E-3
-1.694E-21	-3.670E-3
500.000E-9	-2.450E-3
1.000E-6	-350.000E-6
1.500E-6	1.040E-3
2.000E-6	3.140E-3
2.500E-6	5.250E-3
3.000E-6	7.180E-3
3.500E-6	9.110E-3
4.000E-6	10.860E-3
4.500E-6	12.620E-3
5.000E-6	14.380E-3
5.500E-6	15.440E-3
6.000E-6	17.380E-3
6.500E-6	19.320E-3
7.000E-6	21.270E-3
7.500E-6	23.210E-3
8.000E-6	24.270E-3
8.500E-6	25.510E-3
9.000E-6	27.640E-3
9.500E-6	29.770E-3
10.000E-6	31.190E-3
