Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC3_VDPEdge_linewidth
Temperature(C)= 22.7	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-33.090E-3
-9.500E-6	-32.930E-3
-9.000E-6	-32.280E-3
-8.500E-6	-31.130E-3
-8.000E-6	-29.490E-3
-7.500E-6	-27.850E-3
-7.000E-6	-26.200E-3
-6.500E-6	-25.220E-3
-6.000E-6	-23.400E-3
-5.500E-6	-22.250E-3
-5.000E-6	-20.270E-3
-4.500E-6	-18.290E-3
-4.000E-6	-17.130E-3
-3.500E-6	-15.810E-3
-3.000E-6	-13.820E-3
-2.500E-6	-12.490E-3
-2.000E-6	-11.160E-3
-1.500E-6	-9.670E-3
-1.000E-6	-8.170E-3
-500.000E-9	-6.670E-3
-1.694E-21	-4.170E-3
500.000E-9	-2.670E-3
1.000E-6	-340.000E-6
1.500E-6	1.660E-3
2.000E-6	3.500E-3
2.500E-6	4.670E-3
3.000E-6	6.520E-3
3.500E-6	8.370E-3
4.000E-6	10.210E-3
4.500E-6	12.060E-3
5.000E-6	13.740E-3
5.500E-6	15.430E-3
6.000E-6	17.110E-3
6.500E-6	18.800E-3
7.000E-6	19.810E-3
7.500E-6	21.670E-3
8.000E-6	22.850E-3
8.500E-6	24.880E-3
9.000E-6	26.910E-3
9.500E-6	28.780E-3
10.000E-6	29.960E-3
