Custom_Flutes_23-Nov-20_3:55:23 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 21.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.990E-3
-95.000E-9	-9.950E-3
-90.000E-9	-9.850E-3
-85.000E-9	-9.510E-3
-80.000E-9	-9.030E-3
-75.000E-9	-8.500E-3
-70.000E-9	-8.160E-3
-65.000E-9	-7.620E-3
-60.000E-9	-7.270E-3
-55.000E-9	-6.690E-3
-50.000E-9	-6.090E-3
-45.000E-9	-5.550E-3
-40.000E-9	-5.000E-3
-35.000E-9	-4.690E-3
-30.000E-9	-4.340E-3
-25.000E-9	-3.730E-3
-20.000E-9	-3.120E-3
-15.000E-9	-2.710E-3
-10.000E-9	-2.100E-3
-5.000E-9	-1.740E-3
0.000E+0	-1.120E-3
5.000E-9	-710.000E-6
10.000E-9	-90.000E-6
15.000E-9	320.000E-6
20.000E-9	940.000E-6
25.000E-9	1.570E-3
30.000E-9	2.150E-3
35.000E-9	2.730E-3
40.000E-9	3.250E-3
45.000E-9	3.790E-3
50.000E-9	4.320E-3
55.000E-9	4.650E-3
60.000E-9	5.020E-3
65.000E-9	5.660E-3
70.000E-9	6.300E-3
75.000E-9	6.950E-3
80.000E-9	7.540E-3
85.000E-9	7.870E-3
90.000E-9	8.480E-3
95.000E-9	9.080E-3
100.000E-9	9.680E-3
