Custom_Flutes_23-Nov-20_4:30:10 PM	Left_PQC4_CBKRPoly_s
Temperature(C)= 21.7	Humidity(%)= 12.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.350E-3
-95.000E-9	-11.350E-3
-90.000E-9	-11.120E-3
-85.000E-9	-10.740E-3
-80.000E-9	-10.180E-3
-75.000E-9	-9.580E-3
-70.000E-9	-9.040E-3
-65.000E-9	-8.490E-3
-60.000E-9	-7.950E-3
-55.000E-9	-7.390E-3
-50.000E-9	-6.820E-3
-45.000E-9	-6.250E-3
-40.000E-9	-5.680E-3
-35.000E-9	-5.110E-3
-30.000E-9	-4.530E-3
-25.000E-9	-3.960E-3
-20.000E-9	-3.380E-3
-15.000E-9	-2.800E-3
-10.000E-9	-2.220E-3
-5.000E-9	-1.630E-3
0.000E+0	-1.040E-3
5.000E-9	-450.000E-6
10.000E-9	130.000E-6
15.000E-9	730.000E-6
20.000E-9	1.340E-3
25.000E-9	1.940E-3
30.000E-9	2.550E-3
35.000E-9	3.150E-3
40.000E-9	3.760E-3
45.000E-9	4.380E-3
50.000E-9	5.000E-3
55.000E-9	5.630E-3
60.000E-9	6.250E-3
65.000E-9	6.870E-3
70.000E-9	7.480E-3
75.000E-9	8.110E-3
80.000E-9	8.750E-3
85.000E-9	9.130E-3
90.000E-9	9.830E-3
95.000E-9	10.520E-3
100.000E-9	11.220E-3
