Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC4_CBKRPoly_s
Temperature(C)= 21.5	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-9.130E-3
-95.000E-9	-9.080E-3
-90.000E-9	-8.910E-3
-85.000E-9	-8.610E-3
-80.000E-9	-8.170E-3
-75.000E-9	-7.900E-3
-70.000E-9	-7.410E-3
-65.000E-9	-6.900E-3
-60.000E-9	-6.390E-3
-55.000E-9	-5.890E-3
-50.000E-9	-5.440E-3
-45.000E-9	-4.990E-3
-40.000E-9	-4.530E-3
-35.000E-9	-4.070E-3
-30.000E-9	-3.600E-3
-25.000E-9	-3.140E-3
-20.000E-9	-2.670E-3
-15.000E-9	-2.190E-3
-10.000E-9	-1.910E-3
-5.000E-9	-1.580E-3
0.000E+0	-1.010E-3
5.000E-9	-440.000E-6
10.000E-9	120.000E-6
15.000E-9	640.000E-6
20.000E-9	1.120E-3
25.000E-9	1.610E-3
30.000E-9	2.090E-3
35.000E-9	2.570E-3
40.000E-9	3.050E-3
45.000E-9	3.540E-3
50.000E-9	4.030E-3
55.000E-9	4.530E-3
60.000E-9	5.020E-3
65.000E-9	5.520E-3
70.000E-9	6.010E-3
75.000E-9	6.490E-3
80.000E-9	6.990E-3
85.000E-9	7.480E-3
90.000E-9	7.980E-3
95.000E-9	8.490E-3
100.000E-9	9.000E-3
