Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 22.1	Humidity(%)= 6.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.060E-3
-95.000E-9	-11.000E-3
-90.000E-9	-10.880E-3
-85.000E-9	-10.510E-3
-80.000E-9	-10.200E-3
-75.000E-9	-9.560E-3
-70.000E-9	-9.140E-3
-65.000E-9	-8.510E-3
-60.000E-9	-7.870E-3
-55.000E-9	-7.490E-3
-50.000E-9	-7.060E-3
-45.000E-9	-6.400E-3
-40.000E-9	-5.740E-3
-35.000E-9	-5.070E-3
-30.000E-9	-4.460E-3
-25.000E-9	-3.890E-3
-20.000E-9	-3.560E-3
-15.000E-9	-2.930E-3
-10.000E-9	-2.530E-3
-5.000E-9	-2.080E-3
0.000E+0	-1.320E-3
5.000E-9	-860.000E-6
10.000E-9	-100.000E-6
15.000E-9	590.000E-6
20.000E-9	1.240E-3
25.000E-9	1.890E-3
30.000E-9	2.480E-3
35.000E-9	3.080E-3
40.000E-9	3.680E-3
45.000E-9	4.040E-3
50.000E-9	4.710E-3
55.000E-9	5.380E-3
60.000E-9	6.060E-3
65.000E-9	6.730E-3
70.000E-9	7.110E-3
75.000E-9	7.790E-3
80.000E-9	8.480E-3
85.000E-9	9.160E-3
90.000E-9	9.850E-3
95.000E-9	10.230E-3
100.000E-9	10.920E-3
