Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 22.0	Humidity(%)= 13.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.350E-3
-95.000E-9	-10.300E-3
-90.000E-9	-10.090E-3
-85.000E-9	-9.750E-3
-80.000E-9	-9.250E-3
-75.000E-9	-8.750E-3
-70.000E-9	-8.250E-3
-65.000E-9	-7.730E-3
-60.000E-9	-7.210E-3
-55.000E-9	-6.690E-3
-50.000E-9	-6.170E-3
-45.000E-9	-5.660E-3
-40.000E-9	-5.140E-3
-35.000E-9	-4.820E-3
-30.000E-9	-4.250E-3
-25.000E-9	-3.660E-3
-20.000E-9	-3.080E-3
-15.000E-9	-2.710E-3
-10.000E-9	-2.120E-3
-5.000E-9	-1.750E-3
0.000E+0	-1.100E-3
5.000E-9	-460.000E-6
10.000E-9	130.000E-6
15.000E-9	720.000E-6
20.000E-9	1.270E-3
25.000E-9	1.810E-3
30.000E-9	2.360E-3
35.000E-9	2.910E-3
40.000E-9	3.460E-3
45.000E-9	4.010E-3
50.000E-9	4.570E-3
55.000E-9	5.120E-3
60.000E-9	5.670E-3
65.000E-9	6.230E-3
70.000E-9	6.790E-3
75.000E-9	7.350E-3
80.000E-9	7.910E-3
85.000E-9	8.480E-3
90.000E-9	9.040E-3
95.000E-9	9.600E-3
100.000E-9	10.160E-3
