Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CBKRPoly_s
Temperature(C)= 23.6	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.540E-3
-95.000E-9	-13.540E-3
-90.000E-9	-13.280E-3
-85.000E-9	-12.830E-3
-80.000E-9	-12.450E-3
-75.000E-9	-11.940E-3
-70.000E-9	-11.430E-3
-65.000E-9	-10.590E-3
-60.000E-9	-10.060E-3
-55.000E-9	-9.130E-3
-50.000E-9	-8.320E-3
-45.000E-9	-7.570E-3
-40.000E-9	-6.820E-3
-35.000E-9	-6.140E-3
-30.000E-9	-5.440E-3
-25.000E-9	-5.020E-3
-20.000E-9	-4.250E-3
-15.000E-9	-3.480E-3
-10.000E-9	-2.980E-3
-5.000E-9	-2.410E-3
0.000E+0	-1.550E-3
5.000E-9	-970.000E-6
10.000E-9	-20.000E-6
15.000E-9	850.000E-6
20.000E-9	1.670E-3
25.000E-9	2.480E-3
30.000E-9	2.930E-3
35.000E-9	3.460E-3
40.000E-9	4.370E-3
45.000E-9	5.280E-3
50.000E-9	6.200E-3
55.000E-9	6.740E-3
60.000E-9	7.590E-3
65.000E-9	8.450E-3
70.000E-9	9.300E-3
75.000E-9	10.160E-3
80.000E-9	10.940E-3
85.000E-9	11.420E-3
90.000E-9	12.300E-3
95.000E-9	13.170E-3
100.000E-9	14.050E-3
