Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC4_CBKRPoly_r
Temperature(C)= 20.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-10.060E-3
-95.000E-9	-10.060E-3
-90.000E-9	-9.860E-3
-85.000E-9	-9.530E-3
-80.000E-9	-9.040E-3
-75.000E-9	-8.500E-3
-70.000E-9	-8.000E-3
-65.000E-9	-7.510E-3
-60.000E-9	-7.010E-3
-55.000E-9	-6.510E-3
-50.000E-9	-6.020E-3
-45.000E-9	-5.720E-3
-40.000E-9	-5.370E-3
-35.000E-9	-4.970E-3
-30.000E-9	-4.310E-3
-25.000E-9	-3.910E-3
-20.000E-9	-3.190E-3
-15.000E-9	-2.580E-3
-10.000E-9	-2.010E-3
-5.000E-9	-1.440E-3
0.000E+0	-930.000E-6
5.000E-9	-620.000E-6
10.000E-9	-40.000E-6
15.000E-9	520.000E-6
20.000E-9	1.100E-3
25.000E-9	1.670E-3
30.000E-9	2.200E-3
35.000E-9	2.730E-3
40.000E-9	3.260E-3
45.000E-9	3.800E-3
50.000E-9	4.340E-3
55.000E-9	4.870E-3
60.000E-9	5.410E-3
65.000E-9	5.940E-3
70.000E-9	6.480E-3
75.000E-9	7.020E-3
80.000E-9	7.350E-3
85.000E-9	7.950E-3
90.000E-9	8.340E-3
95.000E-9	9.000E-3
100.000E-9	9.440E-3
