Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CBKRPoly_r
Temperature(C)= 21.7	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-11.880E-3
-95.000E-9	-11.880E-3
-90.000E-9	-11.660E-3
-85.000E-9	-11.260E-3
-80.000E-9	-10.920E-3
-75.000E-9	-10.460E-3
-70.000E-9	-9.760E-3
-65.000E-9	-9.060E-3
-60.000E-9	-8.360E-3
-55.000E-9	-7.720E-3
-50.000E-9	-7.150E-3
-45.000E-9	-6.790E-3
-40.000E-9	-6.380E-3
-35.000E-9	-5.670E-3
-30.000E-9	-4.950E-3
-25.000E-9	-4.230E-3
-20.000E-9	-3.570E-3
-15.000E-9	-2.960E-3
-10.000E-9	-2.340E-3
-5.000E-9	-1.730E-3
0.000E+0	-1.110E-3
5.000E-9	-490.000E-6
10.000E-9	120.000E-6
15.000E-9	750.000E-6
20.000E-9	1.380E-3
25.000E-9	2.010E-3
30.000E-9	2.650E-3
35.000E-9	3.280E-3
40.000E-9	3.920E-3
45.000E-9	4.560E-3
50.000E-9	5.220E-3
55.000E-9	5.870E-3
60.000E-9	6.520E-3
65.000E-9	7.170E-3
70.000E-9	7.830E-3
75.000E-9	8.490E-3
80.000E-9	8.880E-3
85.000E-9	9.610E-3
90.000E-9	10.330E-3
95.000E-9	11.070E-3
100.000E-9	11.800E-3
