Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC4_CBKRPoly_r
Temperature(C)= 20.1	Humidity(%)= 15.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.220E-3
-95.000E-9	-12.220E-3
-90.000E-9	-11.990E-3
-85.000E-9	-11.590E-3
-80.000E-9	-11.010E-3
-75.000E-9	-10.590E-3
-70.000E-9	-9.940E-3
-65.000E-9	-9.290E-3
-60.000E-9	-8.640E-3
-55.000E-9	-7.980E-3
-50.000E-9	-7.380E-3
-45.000E-9	-6.780E-3
-40.000E-9	-6.170E-3
-35.000E-9	-5.550E-3
-30.000E-9	-4.930E-3
-25.000E-9	-4.300E-3
-20.000E-9	-3.680E-3
-15.000E-9	-3.060E-3
-10.000E-9	-2.420E-3
-5.000E-9	-1.790E-3
0.000E+0	-1.150E-3
5.000E-9	-500.000E-6
10.000E-9	140.000E-6
15.000E-9	790.000E-6
20.000E-9	1.440E-3
25.000E-9	2.100E-3
30.000E-9	2.760E-3
35.000E-9	3.420E-3
40.000E-9	4.080E-3
45.000E-9	4.750E-3
50.000E-9	5.420E-3
55.000E-9	6.090E-3
60.000E-9	6.770E-3
65.000E-9	7.450E-3
70.000E-9	8.130E-3
75.000E-9	8.820E-3
80.000E-9	9.500E-3
85.000E-9	10.180E-3
90.000E-9	10.860E-3
95.000E-9	11.560E-3
100.000E-9	12.270E-3
