Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC4_CBKRPoly_s
Temperature(C)= 20.1	Humidity(%)= 15.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-12.080E-3
-95.000E-9	-12.080E-3
-90.000E-9	-11.850E-3
-85.000E-9	-11.460E-3
-80.000E-9	-10.880E-3
-75.000E-9	-10.240E-3
-70.000E-9	-9.650E-3
-65.000E-9	-9.060E-3
-60.000E-9	-8.470E-3
-55.000E-9	-7.870E-3
-50.000E-9	-7.270E-3
-45.000E-9	-6.650E-3
-40.000E-9	-6.040E-3
-35.000E-9	-5.430E-3
-30.000E-9	-4.810E-3
-25.000E-9	-4.190E-3
-20.000E-9	-3.570E-3
-15.000E-9	-2.940E-3
-10.000E-9	-2.310E-3
-5.000E-9	-1.670E-3
0.000E+0	-1.030E-3
5.000E-9	-380.000E-6
10.000E-9	250.000E-6
15.000E-9	900.000E-6
20.000E-9	1.550E-3
25.000E-9	2.210E-3
30.000E-9	2.870E-3
35.000E-9	3.530E-3
40.000E-9	4.190E-3
45.000E-9	4.860E-3
50.000E-9	5.530E-3
55.000E-9	6.210E-3
60.000E-9	6.890E-3
65.000E-9	7.580E-3
70.000E-9	8.260E-3
75.000E-9	8.950E-3
80.000E-9	9.630E-3
85.000E-9	10.330E-3
90.000E-9	11.020E-3
95.000E-9	11.720E-3
100.000E-9	12.410E-3
