Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CBKRPoly_r
Temperature(C)= 21.1	Humidity(%)= 13.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-9	-13.970E-3
-95.000E-9	-13.900E-3
-90.000E-9	-13.640E-3
-85.000E-9	-13.190E-3
-80.000E-9	-12.540E-3
-75.000E-9	-11.890E-3
-70.000E-9	-11.210E-3
-65.000E-9	-10.530E-3
-60.000E-9	-9.850E-3
-55.000E-9	-9.170E-3
-50.000E-9	-8.490E-3
-45.000E-9	-7.800E-3
-40.000E-9	-7.100E-3
-35.000E-9	-6.390E-3
-30.000E-9	-5.680E-3
-25.000E-9	-4.960E-3
-20.000E-9	-4.250E-3
-15.000E-9	-3.520E-3
-10.000E-9	-2.790E-3
-5.000E-9	-2.060E-3
0.000E+0	-1.320E-3
5.000E-9	-880.000E-6
10.000E-9	-60.000E-6
15.000E-9	750.000E-6
20.000E-9	1.590E-3
25.000E-9	2.420E-3
30.000E-9	3.180E-3
35.000E-9	3.950E-3
40.000E-9	4.720E-3
45.000E-9	5.500E-3
50.000E-9	6.290E-3
55.000E-9	7.080E-3
60.000E-9	7.870E-3
65.000E-9	8.660E-3
70.000E-9	9.460E-3
75.000E-9	10.260E-3
80.000E-9	11.060E-3
85.000E-9	11.870E-3
90.000E-9	12.670E-3
95.000E-9	13.490E-3
100.000E-9	14.310E-3
