Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 23.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.130E-3
-95.000E-6	-12.130E-3
-90.000E-6	-12.020E-3
-85.000E-6	-11.780E-3
-80.000E-6	-11.190E-3
-75.000E-6	-10.420E-3
-70.000E-6	-9.700E-3
-65.000E-6	-9.040E-3
-60.000E-6	-8.440E-3
-55.000E-6	-7.840E-3
-50.000E-6	-7.240E-3
-45.000E-6	-6.640E-3
-40.000E-6	-6.270E-3
-35.000E-6	-5.600E-3
-30.000E-6	-4.930E-3
-25.000E-6	-4.500E-3
-20.000E-6	-4.010E-3
-15.000E-6	-3.280E-3
-10.000E-6	-2.530E-3
-5.000E-6	-2.040E-3
0.000E+0	-1.300E-3
5.000E-6	-860.000E-6
10.000E-6	-120.000E-6
15.000E-6	620.000E-6
20.000E-6	1.310E-3
25.000E-6	2.000E-3
30.000E-6	2.630E-3
35.000E-6	3.260E-3
40.000E-6	3.640E-3
45.000E-6	4.340E-3
50.000E-6	5.030E-3
55.000E-6	5.730E-3
60.000E-6	6.430E-3
65.000E-6	7.070E-3
70.000E-6	7.710E-3
75.000E-6	8.090E-3
80.000E-6	8.540E-3
85.000E-6	9.310E-3
90.000E-6	10.080E-3
95.000E-6	10.850E-3
100.000E-6	11.560E-3
