Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 21.5	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-8.850E-3
-95.000E-6	-8.800E-3
-90.000E-6	-8.630E-3
-85.000E-6	-8.450E-3
-80.000E-6	-8.190E-3
-75.000E-6	-7.670E-3
-70.000E-6	-7.150E-3
-65.000E-6	-6.620E-3
-60.000E-6	-6.310E-3
-55.000E-6	-5.830E-3
-50.000E-6	-5.350E-3
-45.000E-6	-4.860E-3
-40.000E-6	-4.380E-3
-35.000E-6	-3.930E-3
-30.000E-6	-3.490E-3
-25.000E-6	-3.050E-3
-20.000E-6	-2.600E-3
-15.000E-6	-2.150E-3
-10.000E-6	-1.700E-3
-5.000E-6	-1.260E-3
0.000E+0	-810.000E-6
5.000E-6	-360.000E-6
10.000E-6	80.000E-6
15.000E-6	540.000E-6
20.000E-6	990.000E-6
25.000E-6	1.450E-3
30.000E-6	1.900E-3
35.000E-6	2.350E-3
40.000E-6	2.630E-3
45.000E-6	3.130E-3
50.000E-6	3.450E-3
55.000E-6	4.000E-3
60.000E-6	4.550E-3
65.000E-6	5.050E-3
70.000E-6	5.560E-3
75.000E-6	6.020E-3
80.000E-6	6.480E-3
85.000E-6	6.940E-3
90.000E-6	7.410E-3
95.000E-6	7.690E-3
100.000E-6	8.200E-3
