Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 22.2	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-15.260E-3
-95.000E-6	-15.260E-3
-90.000E-6	-14.970E-3
-85.000E-6	-14.450E-3
-80.000E-6	-13.710E-3
-75.000E-6	-12.900E-3
-70.000E-6	-12.450E-3
-65.000E-6	-11.630E-3
-60.000E-6	-11.100E-3
-55.000E-6	-10.200E-3
-50.000E-6	-9.290E-3
-45.000E-6	-8.760E-3
-40.000E-6	-8.150E-3
-35.000E-6	-7.230E-3
-30.000E-6	-6.620E-3
-25.000E-6	-6.000E-3
-20.000E-6	-5.310E-3
-15.000E-6	-4.230E-3
-10.000E-6	-3.210E-3
-5.000E-6	-2.270E-3
0.000E+0	-1.410E-3
5.000E-6	-940.000E-6
10.000E-6	-70.000E-6
15.000E-6	790.000E-6
20.000E-6	1.670E-3
25.000E-6	2.220E-3
30.000E-6	3.100E-3
35.000E-6	3.990E-3
40.000E-6	4.870E-3
45.000E-6	5.750E-3
50.000E-6	6.240E-3
55.000E-6	7.130E-3
60.000E-6	8.020E-3
65.000E-6	8.910E-3
70.000E-6	9.810E-3
75.000E-6	10.620E-3
80.000E-6	11.440E-3
85.000E-6	11.930E-3
90.000E-6	12.830E-3
95.000E-6	13.410E-3
100.000E-6	14.390E-3
