Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC4_CBKRStrip_r
Temperature(C)= 21.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.600E-3
-95.000E-6	-11.550E-3
-90.000E-6	-11.320E-3
-85.000E-6	-11.090E-3
-80.000E-6	-10.750E-3
-75.000E-6	-10.070E-3
-70.000E-6	-9.620E-3
-65.000E-6	-8.880E-3
-60.000E-6	-8.420E-3
-55.000E-6	-7.960E-3
-50.000E-6	-7.500E-3
-45.000E-6	-6.690E-3
-40.000E-6	-5.940E-3
-35.000E-6	-5.240E-3
-30.000E-6	-4.600E-3
-25.000E-6	-4.250E-3
-20.000E-6	-3.610E-3
-15.000E-6	-2.960E-3
-10.000E-6	-2.310E-3
-5.000E-6	-1.900E-3
0.000E+0	-1.240E-3
5.000E-6	-590.000E-6
10.000E-6	60.000E-6
15.000E-6	710.000E-6
20.000E-6	1.310E-3
25.000E-6	1.910E-3
30.000E-6	2.510E-3
35.000E-6	3.120E-3
40.000E-6	3.480E-3
45.000E-6	4.140E-3
50.000E-6	4.810E-3
55.000E-6	5.480E-3
60.000E-6	6.150E-3
65.000E-6	6.510E-3
70.000E-6	7.190E-3
75.000E-6	7.620E-3
80.000E-6	8.350E-3
85.000E-6	8.840E-3
90.000E-6	9.330E-3
95.000E-6	9.830E-3
100.000E-6	10.380E-3
