Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 22.8	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.400E-3
-95.000E-6	-11.340E-3
-90.000E-6	-11.120E-3
-85.000E-6	-10.900E-3
-80.000E-6	-10.560E-3
-75.000E-6	-10.120E-3
-70.000E-6	-9.390E-3
-65.000E-6	-8.940E-3
-60.000E-6	-8.440E-3
-55.000E-6	-7.650E-3
-50.000E-6	-6.970E-3
-45.000E-6	-6.290E-3
-40.000E-6	-5.890E-3
-35.000E-6	-5.490E-3
-30.000E-6	-5.030E-3
-25.000E-6	-4.280E-3
-20.000E-6	-3.820E-3
-15.000E-6	-3.020E-3
-10.000E-6	-2.320E-3
-5.000E-6	-1.680E-3
0.000E+0	-1.040E-3
5.000E-6	-460.000E-6
10.000E-6	120.000E-6
15.000E-6	700.000E-6
20.000E-6	1.290E-3
25.000E-6	1.880E-3
30.000E-6	2.470E-3
35.000E-6	3.070E-3
40.000E-6	3.660E-3
45.000E-6	4.260E-3
50.000E-6	4.850E-3
55.000E-6	5.450E-3
60.000E-6	6.050E-3
65.000E-6	6.650E-3
70.000E-6	7.250E-3
75.000E-6	7.850E-3
80.000E-6	8.460E-3
85.000E-6	8.820E-3
90.000E-6	9.490E-3
95.000E-6	10.160E-3
100.000E-6	10.820E-3
