Custom_Flutes_23-Nov-20_6:59:01 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 22.3	Humidity(%)= 15.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.800E-3
-95.000E-6	-12.800E-3
-90.000E-6	-12.550E-3
-85.000E-6	-12.110E-3
-80.000E-6	-11.740E-3
-75.000E-6	-10.990E-3
-70.000E-6	-10.300E-3
-65.000E-6	-9.600E-3
-60.000E-6	-8.910E-3
-55.000E-6	-8.280E-3
-50.000E-6	-7.640E-3
-45.000E-6	-7.000E-3
-40.000E-6	-6.360E-3
-35.000E-6	-5.720E-3
-30.000E-6	-5.340E-3
-25.000E-6	-4.630E-3
-20.000E-6	-3.910E-3
-15.000E-6	-3.200E-3
-10.000E-6	-2.740E-3
-5.000E-6	-2.020E-3
0.000E+0	-1.300E-3
5.000E-6	-580.000E-6
10.000E-6	130.000E-6
15.000E-6	790.000E-6
20.000E-6	1.450E-3
25.000E-6	2.120E-3
30.000E-6	2.780E-3
35.000E-6	3.450E-3
40.000E-6	4.120E-3
45.000E-6	4.790E-3
50.000E-6	5.460E-3
55.000E-6	6.130E-3
60.000E-6	6.810E-3
65.000E-6	7.490E-3
70.000E-6	8.170E-3
75.000E-6	8.840E-3
80.000E-6	9.530E-3
85.000E-6	10.210E-3
90.000E-6	10.890E-3
95.000E-6	11.570E-3
100.000E-6	12.250E-3
